uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"9ce76e2e-4707-483d-954d-30c6a6945644","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.04496A",,"ok","multi-bole tree","Live",16.7,130,,,,,,,,,,,,,,"jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"83c53c4a-8c24-4b81-bc6b-432ba314ff84","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.03014",,"ok","sapling","Live",,,0.6,,,,,,,,1.0,10,,,,"jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"97795828-adcb-4c53-b0e1-dfa6ba7d5234","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.04032",,"ok","sapling","Live, disease damaged",,,1.4,,,,,,,,1.1,10,,,"Beech bark disease.","jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"75d0a81c-a403-4241-9fdf-1afd2be2d802","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.04697",,"ok","sapling","Standing dead",,,0.6,,,,,,,,1.2,10,,,"Unknown cause of death.","jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"f8cf252b-2758-4ccf-bcd4-2f80ba6a9519","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.03120",,"ok","sapling","Live",,,1.0,,,,,,,,1.7,10,,,,"jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"ede4c142-5316-4350-b3b4-7dd15455a44f","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.03019",,"ok","sapling","Live",,,0.7,,,,,,,,1.8,10,,,,"jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"c697a9db-e102-41e7-b7e4-40e26b89a38c","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.03140",,"ok","small tree","Live, disease damaged",1.5,130,2.8,,,,,,,,,,,,"Has beech bark disease on the bole.","jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"8030740a-8ee2-415a-ae29-c6657ee36889","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.03262",,"ok","small tree","Live",4.0,130,4.0,,,,,,,,,,,,,"jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"138e3bd8-a67a-4eea-a171-3f03cf328657","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.03244",,"ok","single bole tree","Lost, fate unknown",,,,,,,,,,,,,,,"Not measured in 2016 or 2017.","jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
"a7b22b91-a1ef-4feb-95bb-412ffd7d7c03","BART_075.basePlot.vst","2017-09-06","vst_BART_2017","D01","BART","BART_075",,"NEON.PLA.D01.BART.03360",,"ok","sapling","Live, disease damaged",,,0.7,,,,,,,,1.4,10,,,"Beech bark disease.","jbreault@field-ops.org","ramundson@field-ops.org","legacyData"
