uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"0a8d9102-5fa7-45a2-8a2d-c71f451fdfb8","SCBI_067.basePlot.vst","2017-12-01","D02","SCBI","SCBI_067","tower","deciduousForest",38.893934,-78.135517,"WGS84",20.2,748432.62,4308907.48,"17N",415.9,0.3,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","25","noneSelected",800,100,800,,"gchapman@neoninc.org","alandes@field-ops.org",
"14c3b0a7-1fa0-4eb8-a850-11764752609d","SCBI_053.basePlot.vst","2017-12-04","D02","SCBI","SCBI_053","tower","deciduousForest",38.889773,-78.140518,"WGS84",20.1,748013.30,4308432.00,"17N",353.9,0.2,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","10","100",800,40,400,,"llemmon@field-ops.org","imatlock@field-ops.org",
"3b899ec4-ba86-4438-80b3-265d64f93b51","SCBI_045.basePlot.vst","2017-12-06","D02","SCBI","SCBI_045","tower","deciduousForest",38.890566,-78.139431,"WGS84",20.1,748104.83,4308522.98,"17N",359.0,0.1,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","10","100",800,40,400,,"imatlock@field-ops.org","llemmon@field-ops.org",
"d71e7fe1-752d-4d7b-a49d-a8f54763d91e","SCBI_054.basePlot.vst","2017-12-07","D02","SCBI","SCBI_054","tower","deciduousForest",38.890803,-78.137674,"WGS84",20.2,748256.42,4308554.07,"17N",369.4,0.4,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","41_4","25","100",800,100,400,,"imatlock@field-ops.org","llemmon@field-ops.org",
"55f607db-1703-4f82-bf98-c4821d8497b3","SCBI_061.basePlot.vst","2017-12-11","D02","SCBI","SCBI_061","tower","evergreenForest",38.889507,-78.142209,"WGS84",20.3,747867.53,4308397.87,"17N",326.7,0.5,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","10","100",800,40,400,,"gchapman@neoninc.org","alandes@field-ops.org",
"bfd2dcbb-d987-483a-b382-89fef7bb1f43","SCBI_048.basePlot.vst","2017-12-15","D02","SCBI","SCBI_048","tower","deciduousForest",38.892604,-78.135922,"WGS84",20.2,748402.12,4308758.75,"17N",418.0,0.2,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","25","noneSelected",800,100,800,,"imatlock@field-ops.org","alandes@field-ops.org",
"fbb8b249-4e61-469a-85e4-80fa7aaf4666","SCBI_018.basePlot.vst","2017-12-18","D02","SCBI","SCBI_018","distributed","deciduousForest",38.870972,-78.157527,"WGS84",20.3,746602.82,4306298.99,"17N",369.3,0.4,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y",,"10","noneSelected",400,80,400,,"gchapman@neoninc.org","alandes@field-ops.org",
"91c5a450-0981-4306-a35d-2724bf4a48f3","SCBI_013.basePlot.vst","2017-12-19","D02","SCBI","SCBI_013","distributed","deciduousForest",38.874379,-78.163985,"WGS84",20.2,746030.69,4306659.72,"17N",314.3,0.3,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","32","N",,"noneSelected","noneSelected",400,400,400,,"llemmon@field-ops.org","alandes@field-ops.org",
"eb0e5630-a626-4dd1-9f4d-3c820d5796f8","SCBI_014.basePlot.vst","2017-12-20","D02","SCBI","SCBI_014","distributed","deciduousForest",38.867076,-78.163553,"WGS84",20.2,746093.38,4305850.27,"17N",390.4,0.4,"vst_SCBI_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","noneSelected","noneSelected",400,400,400,,"llemmon@field-ops.org","imatlock@field-ops.org",
"c06cdaa8-f9e1-4ae2-b11b-5ac93d005567","SCBI_038.basePlot.vst","2017-12-21","D02","SCBI","SCBI_038","distributed","pastureHay",38.881539,-78.168857,"WGS84",20.1,745583.30,4307441.33,"17N",309.8,0.1,"vst_SCBI_2017","NEON.DOC.000987vG",,,,,,,"noneSelected","noneSelected",400,400,400,"Annually mowed field","gchapman@neoninc.org","gchapman@neoninc.org",
"5c1ce0b7-5a7d-4077-b8bc-836ff401638d","SCBI_034.basePlot.vst","2017-12-21","D02","SCBI","SCBI_034","distributed","pastureHay",38.891060,-78.160512,"WGS84",20.1,746274.39,4308520.65,"17N",337.0,0.1,"vst_SCBI_2017","NEON.DOC.000987vG",,,,,,,"noneSelected","noneSelected",400,400,400,"Annually mowed field","gchapman@neoninc.org","gchapman@neoninc.org",
"dabbbfd9-9d62-4440-a83e-fe5353eb5e3e","SCBI_012.basePlot.vst","2017-12-21","D02","SCBI","SCBI_012","distributed","pastureHay",38.889095,-78.168896,"WGS84",20.1,745553.87,4308279.92,"17N",264.6,0.1,"vst_SCBI_2017","NEON.DOC.000987vG",,,,,,,"noneSelected","noneSelected",400,400,400,"Annually mowed field","gchapman@neoninc.org","gchapman@neoninc.org",
"169f16bb-710b-4178-a52f-eb23d32a10c4","SCBI_035.basePlot.vst","2017-12-21","D02","SCBI","SCBI_035","distributed","pastureHay",38.882888,-78.168812,"WGS84",20.1,745582.55,4307591.19,"17N",300.9,0.1,"vst_SCBI_2017","NEON.DOC.000987vG",,,,,,,"noneSelected","noneSelected",400,400,400,"Annually mowed field","gchapman@neoninc.org","gchapman@neoninc.org",
"f3eb38b3-d7a4-461d-9dba-6230d5918491","SCBI_033.basePlot.vst","2017-12-21","D02","SCBI","SCBI_033","distributed","pastureHay",38.888917,-78.161302,"WGS84",20.1,746213.26,4308280.65,"17N",299.3,0.1,"vst_SCBI_2017","NEON.DOC.000987vG",,,,,,,"noneSelected","noneSelected",400,400,400,"Annually mowed field","gchapman@neoninc.org","gchapman@neoninc.org",
"1258e3b6-bf6f-46ce-83b6-f5f8c1dc42f0","SCBI_006.basePlot.vst","2017-12-21","D02","SCBI","SCBI_006","distributed","pastureHay",38.897609,-78.152007,"WGS84",20.1,746989.47,4309270.59,"17N",298.0,0.1,"vst_SCBI_2017","NEON.DOC.000987vG",,,,,,,"noneSelected","noneSelected",400,400,400,"Annually mowed field","gchapman@neoninc.org","gchapman@neoninc.org",
