uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"c1ef89dc-7009-410f-bfdc-23879e740e7a","SERC_067.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_067",,"NEON.PLA.D02.SERC.12445",,"ok","sapling","Live",,,1.4,,,,,,,,1.3,10,,,,"jward@battelleecology.org","cthiel@battelleecology.org",
"89f3b9ad-788e-4058-8a5f-97b606497eb7","SERC_057.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_057",,"NEON.PLA.D02.SERC.09151",,"ok","small tree","Live",4.2,130,5.5,,,,,,,,,,,,,"cthiel@battelleecology.org","jward@battelleecology.org",
"31c6a412-de4d-4803-a015-d5083bf57988","SERC_067.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_067",,"NEON.PLA.D02.SERC.12723",,"ok","single bole tree","Live",54.6,130,25.2,,,,,,,,,,,,,"jward@battelleecology.org","cthiel@battelleecology.org",
"672ab57e-4288-42f7-b1c3-7ca9b3c80f71","SERC_067.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_067",,"NEON.PLA.D02.SERC.12702",,"ok","single bole tree","Live",36.4,130,22.3,,,,,,,,,,,,,"jward@battelleecology.org","cthiel@battelleecology.org",
"ff243b4e-682b-4547-868b-db3c510a2f50","SERC_067.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_067",,"NEON.PLA.D02.SERC.13052",,"ok","small tree","Live",1.2,130,1.8,,,,,,,,,,,,,"jward@battelleecology.org","cthiel@battelleecology.org",
"32bff90f-8eb7-4bf5-a0ee-9ccc6566195c","SERC_067.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_067",,"NEON.PLA.D02.SERC.13069",,"ok","small tree","Standing dead",7.9,130,7.9,,,,,,,,,,,,,"jward@battelleecology.org","cthiel@battelleecology.org",
"d037bdfc-2b7e-40a4-b50f-d52562490701","SERC_057.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_057",,"NEON.PLA.D02.SERC.09349",,"ok","single bole tree","Live,  other damage",31.2,130,24.7,,,,,,,,,,,,"Bole damage from old fence; crown damage also present","cthiel@battelleecology.org","jward@battelleecology.org",
"7f6cdd4f-e261-467b-8037-63bed72a81d6","SERC_057.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_057",,"NEON.PLA.D02.SERC.09360",,"ok","single bole tree","Live",40.5,130,27.3,,,,,,,,,,,,,"cthiel@battelleecology.org","jward@battelleecology.org",
"5a1bc840-3bf1-4d0f-90f4-1487bdcda908","SERC_067.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_067",,"NEON.PLA.D02.SERC.12722",,"ok","single bole tree","Live",10.2,130,7.7,,,,,,,,,,,,,"jward@battelleecology.org","cthiel@battelleecology.org",
"f8bfacc8-8bdb-482b-ab36-41254953eebc","SERC_067.basePlot.vst","2018-10-01","vst_SERC_2018","D02","SERC","SERC_067",,"NEON.PLA.D02.SERC.13057",,"ok","small tree","Live",7.0,130,5.0,,,,,,,,,,,,,"jward@battelleecology.org","cthiel@battelleecology.org",
