uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"9da63653-1451-4697-a7ee-390d5ba89b1c","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00843",,"ok","small tree","Standing dead",3.4,119,1.3,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"325a917e-6b0e-4452-980a-ef1bd8be7f76","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00678",,"ok","single bole tree","Live",22.7,130,16.3,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"654558d9-f612-4ee8-80a5-a7e2ab277d00","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07523",,"ok","sapling","Live, broken bole",,,1.1,,1.0,0.8,,,,,1.3,10,,,"Bole snapped and still hanging","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"5d81d01f-b775-4e37-aca9-9e3ae8057a36","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00674",,"ok","single bole tree","Live",15.3,130,11.5,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"24ad2234-28a4-404c-9a76-37b314457fab","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00278",,"ok","sapling","Live",,,2.0,,,,,,,,1.7,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"631ad11c-f723-43a0-b831-d4d69397b5e2","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07440",,"ok","sapling","Live",,,1.3,,,,,,,,1.0,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"aadf68a2-dd1b-4b4e-843b-5e7f29af9eb2","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07521",,"ok","sapling","Live,  other damage",,,1.5,,,,,,,,1.4,10,,,"Leaking sap on stem and leaves have fungal issue","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"8d84ca6f-bfbd-4bdf-8c9b-7bac0274efde","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07525",,"ok","sapling","Live",,,1.4,,,,,,,,1.0,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"4b797ead-87f2-44c6-ba53-dc87d8599dea","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00687",,"ok","sapling","Live",,,1.8,,,,,,,,2.0,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"0d829a04-eca9-456c-887d-933f46826158","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00662",,"ok","single bole tree","Live",17.9,130,9.8,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"1acc3d04-ef95-499e-9a1e-837fc1126f69","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00817",,"ok","single bole tree","Live",27.6,130,15.8,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"433dd186-8644-4c64-998b-4260ebb0bd5a","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00694",,"ok","small tree","Live",5.6,130,3.7,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"12f43714-961c-408b-b45a-116638cee0b5","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00655",,"ok","single bole tree","Live",16.7,130,12.3,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"7f86c4aa-08f2-4bd3-9eb6-eeb9a7890eef","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00272",,"ok","small tree","Live",7.9,130,7.0,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"2ccc0d4c-0990-4223-9b84-08f7a165910d","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00680",,"unknown",,"Lost, fate unknown",,,,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"598e2986-fedb-4b7a-a89a-872aed797a5f","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07541",,"ok","sapling","Live",,,1.3,,,,,,,,1.1,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"8d10ca10-564a-423e-86c6-3e54849329c2","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00653",,"ok","small tree","Live",13.8,130,9.0,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"6891b431-a30a-4cad-b743-9bc0aab557ca","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00804",,"ok","single bole tree","Live, physically damaged",12.0,130,9.0,,,,,,,,,,,,"Top broken out at some point but nearly recovered","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"3d13fce2-bb6d-42ad-9246-70bc19c4b0fe","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00819",,"ok","small tree","Live",8.4,130,10.5,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"7a9b3596-43f3-4e24-a8ce-c7a13f93b21a","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00657",,"ok","single bole tree","Live",18.3,130,11.6,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"9c2e1f38-4cc9-4e0c-ae2a-4a3e999dad7b","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00829",,"ok","sapling","Live",,,1.6,,,,,,,,1.5,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"78e16d93-9ba4-4880-a486-24d4b47d2add","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07441",,"ok","sapling","Live",,,1.9,,,,,,,,1.0,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"03f52bc8-5a65-46bf-bb69-f2a1adf477f8","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00650",,"ok","single bole tree","Live",10.7,130,8.5,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"c0f30720-2e6f-448d-a592-9388bcb7449d","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00764",,"unknown",,"Lost, fate unknown",,,,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"6bd107ec-4f79-4b6a-b11b-1d60f50a1ebb","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00810",,"ok","single bole tree","Live",19.7,130,16.1,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"0c6dfe46-a2c2-4ec3-9d24-4a763c4a9941","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00802",,"ok","single bole tree","Live,  other damage",13.4,130,11.1,,,,,,,,,,,,"Unknown damage to the base of tree","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"dca82d1b-99e3-44c0-a370-552d5c91972d","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00672",,"ok","single bole tree","Live",11.5,130,9.3,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"828e84d8-b77e-4f21-a147-9b9b91557bd8","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00648",,"unknown",,"Lost, fate unknown",,,,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"11d7b224-f040-438b-9811-59ca815f41fe","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07536",,"ok","sapling","Live",,,1.3,,,,,,,,1.1,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"a15ab288-a6ed-433a-b9a6-adfd1dd96f5b","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00642",,"ok","small tree","Live",1.2,130,2.4,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"769858e9-8345-4bed-8910-9009e1d370a6","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07444",,"ok","sapling","Live",,,1.4,,,,,,,,1.2,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"3c2ce988-0507-4891-bc10-fc5dafc06f11","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07510",,"ok","sapling","Live",,,1.6,,,,,,,,1.3,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"9463f911-7dfa-4d07-980c-959f1946ac17","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07512",,"ok",,"Lost, fate unknown",,,,,,,,,,,,,,,"Tag found on ground","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"cff3b35f-75fe-4541-8f86-395ac90c0305","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00802",,"ok","single bole tree","Live",18.5,130,16.5,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"0b7f7170-fcdb-425c-8cc6-ec80eef9bf5b","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07453",,"ok","small tree","Standing dead",6.3,130,3.7,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"661d921e-83f3-4ae4-8d04-9d363be06221","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00842",,"ok","small tree","Live",1.3,130,2.8,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"ac98c138-f436-495d-a8b7-9ce26e6e330e","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00823",,"ok","single bole tree","Live, disease damaged",12.1,155,14.8,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"ffd2544a-a05d-49a2-a580-ccd1c32fbb13","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07524",,"ok","sapling","Live",,,1.8,,,,,,,,1.3,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"77a01238-6f5d-478a-bc38-5ec091e85e87","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00828",,"ok","sapling","Live",,,1.6,,,,,,,,1.3,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"f93a0d23-0dbc-4b2c-8679-eadee4ea93e5","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00805",,"ok","single bole tree","Live",19.1,130,14.8,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"06d3da1b-a1f8-4c1f-aba5-8cb96917e22f","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00675",,"ok","single bole tree","Live",10.5,130,10.0,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"056d53df-c9b2-44e2-ac98-44d3eab6cb44","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07460",,"ok","sapling","Live",,,1.3,,,,,,,,1.1,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"14a520c5-e179-490d-bff0-f96bd02d983c","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00825",,"ok","single bole tree","Live,  other damage",10.5,130,7.4,,,,,,,,,,,,"Possible insect and fire damage","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"cd1ddfa2-5983-4842-bed2-165d75f0adf8","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00682",,"ok","single bole tree","Live",13.4,130,9.6,,,,,,,,,,,,"Stem diameter measured at 158cm above ground. Measured above tag","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"901473da-72d3-4e05-8e98-2f474bed01d0","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07438",,"ok","sapling","Live",,,1.1,,,,,,,,1.1,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"cca83c37-f96f-49c3-a3f0-d705f9e74e7f","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00806",,"ok","single bole tree","Live",23.7,130,12.3,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"c79d7312-0191-401e-b6a4-023158751c28","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07452",,"ok","small tree","Live",6.4,130,12.3,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"a7a3cf22-bc7f-4c3c-b172-240eae57ca79","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00673",,"ok","single bole tree","Live",17.8,130,13.8,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"74e007b8-faa9-46a7-a7cc-a46e55081777","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07534",,"ok","sapling","Live",,,1.2,,,,,,,,1.2,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"dd23a134-52ee-4f2c-84ef-437ac27043df","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00679",,"ok","single bole tree","Live",13.1,130,12.4,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"8e0379b4-2c40-4609-81e2-cff7b25514cc","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00803",,"ok","single bole tree","Live",21.5,130,17.9,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"e98b4c88-fb69-4a0a-a53d-f2e91861eaf0","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07508",,"ok","sapling","Live",,,1.3,,,,,,,,11.1,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"c696e863-6d4f-4bf8-ae70-7afa7ac5a2b3","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00821",,"ok","single bole tree",,42.1,140,20.3,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"f6c443d8-1913-40e8-93da-77134da778e1","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07522",,"ok","sapling","Live",,,1.5,,,,,,,,1.2,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"6df5731b-3b86-4861-9e56-0306e19326f5","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00667",,"ok","single bole tree","Live",11.9,130,12.4,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"88e0827b-17b9-4149-a4ae-cb67d813050e","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00818",,"ok","small tree","Live",9.1,130,9.5,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"91b58135-822b-4e35-9898-f92f9668da80","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07505",,"ok","sapling","Live",,,1.2,,,,,,,,1.3,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"cd5c5412-e652-4105-abae-130a6936a266","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00663",,"ok","small tree","Live",8.1,130,10.8,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"d8ed749f-ba30-4688-8105-0a83bf1437c3","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07459",,"ok","sapling","Live",,,1.3,,,,,,,,1.2,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"5dbf2135-895b-4880-b012-75bd8dd271c6","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00681",,"ok","single bole tree","Standing dead",11.4,130,6.6,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"44e6cc47-6398-4df5-8474-b40b416b77b1","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00811",,"ok","single bole tree","Live, disease damaged",22.2,130,16.2,,,,,,,,,,,,"Bole crooked by fungus","mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"41e1f6de-d2ff-4834-b1d0-c1dbeca88f3a","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07443",,"ok","sapling","Live",,,1.2,,,,,,,,1.1,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"3ddaab7c-bb18-41a8-bee9-fffbdeaef47a","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.00677",,"ok","single bole tree","Live",19.4,130,17.1,,,,,,,,,,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"87617d15-913b-4302-a99b-6d5d47ea3340","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07455",,"ok","sapling","Live",,,1.5,,,,,,,,1.0,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"fbfd1760-7864-4ef9-9876-86b7283f23a4","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07439",,"ok","sapling","Live",,,1.8,,,,,,,,1.2,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"65d30747-01f9-4174-9d23-9e9c100846e0","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07502",,"ok","sapling","Live",,,1.4,,,,,,,,1.2,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
"4b32ffae-2f3c-4951-878b-f8b566483ef2","OSBS_042.basePlot.vst","2017-11-07","vst_OSBS_2017","D03","OSBS","OSBS_042",,"NEON.PLA.D03.OSBS.07506",,"ok","sapling","Live",,,1.4,,,,,,,,1.3,10,,,,"mkerstein@neoninc.org","sknowlden@battelleecology.org","legacyData"
