uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"d6255ebb-f9cd-49f6-b39e-0fb9707c1ed6","STEI_051.basePlot.vst","2017-09-05","D05","STEI","STEI_051","tower","deciduousForest",45.503823,-89.585000,"WGS84",20.2,298057.00,5042171.76,"16N",471.6,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kpalo@battelleecology.org","akantola@battelleecology.org",
"cba49aa2-c96e-4880-86f7-a2fdb2b6efd1","STEI_060.basePlot.vst","2017-09-06","D05","STEI","STEI_060","tower","deciduousForest",45.506757,-89.587060,"WGS84",20.2,297906.58,5042502.90,"16N",472.4,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kstyers@battelleecology.org","tspadea@battelleecology.org",
"f9b64abe-8015-4cd5-8b0c-d9b71a518042","STEI_056.basePlot.vst","2017-09-06","D05","STEI","STEI_056","tower","deciduousForest",45.507519,-89.587882,"WGS84",20.2,297845.10,5042589.62,"16N",478.3,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kstyers@battelleecology.org","kpalo@battelleecology.org",
"2efd3565-b462-4504-9a4d-1c0000c23e56","STEI_049.basePlot.vst","2017-09-06","D05","STEI","STEI_049","tower","deciduousForest",45.507858,-89.585575,"WGS84",20.2,298026.52,5042621.48,"16N",475.5,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kpalo@battelleecology.org","kstyers@battelleecology.org",
"e8265763-2a37-4ec3-8044-d7496e9f111f","STEI_062.basePlot.vst","2017-09-07","D05","STEI","STEI_062","tower","deciduousForest",45.505974,-89.585482,"WGS84",20.2,298027.05,5042411.94,"16N",472.9,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"ahacker@battelleecology.org","kpalo@battelleecology.org",
"b7e58e88-fbf0-42e6-9484-846c2b6a4302","STEI_048.basePlot.vst","2017-09-07","D05","STEI","STEI_048","tower","deciduousForest",45.509454,-89.587198,"WGS84",20.2,297905.46,5042802.87,"16N",474.3,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kmcmahon@neoninc.org","akantola@battelleecology.org",
"5e3b32e6-f05c-4e4f-a697-14b819d79d9c","STEI_059.basePlot.vst","2017-09-07","D05","STEI","STEI_059","tower","deciduousForest",45.508883,-89.588327,"WGS84",20.2,297815.22,5042742.28,"16N",474.5,0.2,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kpalo@battelleecology.org","kstyers@battelleecology.org",
"0535b6e8-e686-4f24-b1ba-52f40436321b","STEI_050.basePlot.vst","2017-09-07","D05","STEI","STEI_050","tower","deciduousForest",45.508958,-89.584867,"WGS84",20.1,298085.76,5042741.90,"16N",475.1,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kmcmahon@neoninc.org","akantola@battelleecology.org",
"2c4c6f73-beb7-467e-b35f-e3da0af889a0","STEI_061.basePlot.vst","2017-09-08","D05","STEI","STEI_061","tower","mixedForest",45.505170,-89.584700,"WGS84",20.2,298085.26,5042320.65,"16N",469.7,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kpalo@battelleecology.org","kstyers@battelleecology.org",
"78289e37-20d9-4aaf-a84e-10e4e4d8502c","STEI_057.basePlot.vst","2017-09-08","D05","STEI","STEI_057","tower","deciduousForest",45.507077,-89.584791,"WGS84",20.2,298084.97,5042532.74,"16N",474.1,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kpalo@battelleecology.org","ahacker@battelleecology.org",
"f1ddf25a-5e50-4dda-8dfc-5617de6abc3d","STEI_055.basePlot.vst","2017-09-08","D05","STEI","STEI_055","tower","deciduousForest",45.504020,-89.588862,"WGS84",20.2,297756.01,5042203.37,"16N",468.0,0.3,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"akantola@battelleecology.org","tspadea@battelleecology.org",
"b630971e-537f-4d5f-95d0-54958203b419","STEI_052.basePlot.vst","2017-09-08","D05","STEI","STEI_052","tower","deciduousForest",45.505085,-89.588542,"WGS84",20.1,297784.82,5042320.88,"16N",467.9,0.2,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kpalo@battelleecology.org","kstyers@battelleecology.org",
"56d71096-6ff6-4b8a-bdcc-492998da2ee2","STEI_047.basePlot.vst","2017-09-08","D05","STEI","STEI_047","tower","deciduousForest",45.506171,-89.588579,"WGS84",20.2,297785.82,5042441.62,"16N",473.4,0.4,"vst_STEI_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kpalo@battelleecology.org","kstyers@battelleecology.org",
