uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"fd2aba39-d038-42a1-9b12-2137c8fac28c","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00698",,"ok","single bole tree","Live, physically damaged",11.3,130,10.9,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"5fa631c1-4d29-45bf-a5a2-55475ee15479","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00567",,"ok",,"Downed",,,,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"9b31546b-4829-4c6c-a5de-9c34db55db73","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00657",,"ok",,"Downed",,,,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"b4cf03e3-a022-4dbe-855f-41fb0c1b8cc2","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00603",,"ok","small tree","Standing dead",8.0,130,9.0,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"b0adb80d-a198-43f4-aa66-0648af440bd3","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00644",,"ok","single shrub","Standing dead",5.5,130,3.9,,,,3.0,1.7,,"cylinder",7.1,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"456484ad-2c3b-443b-964f-38c94aaa8601","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00531",,"ok","single bole tree","Live",49.7,130,30.2,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"ad91b33d-588a-4b83-8366-7e27e2452517","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00653",,"ok","single shrub","Standing dead",2.6,130,1.7,,,,1.7,1.5,,"half-sphere",5.3,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"67c28345-9766-417c-983a-58c159df7278","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00605",,"ok","small tree","Standing dead",6.9,130,5.3,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"a142f882-dbcc-42c2-b8eb-e6af2ea241b5","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00587",,"ok","single shrub","Standing dead",4.2,130,3.9,,,,2.3,1.6,,"cylinder",5.2,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"bf06947f-ae00-4bb2-95ee-80c1f210c740","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00555",,"ok","single shrub","Standing dead",6.9,130,4.2,,,,4.0,2.5,,"half-sphere",11.5,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"e54f5a45-79a6-4e84-b36e-fbcfb3705c5a","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00614",,"ok","single shrub","Standing dead",2.9,130,2.6,,,,2.2,1.7,,"cylinder",6.0,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"7d388238-a4d7-463b-8b4c-e654f50db5f6","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00619",,"unknown",,"Lost, burned",,,,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"e28d620b-d3d4-4107-8f5f-907d8fcc45f4","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00702",,"ok","single bole tree","Live, physically damaged",18.3,130,12.5,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"8c681af5-0088-43dd-8a83-4bc327c36704","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00645",,"ok","small tree","Standing dead",1.3,130,2.2,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"e9023ce5-6c39-438f-8edd-664793aab702","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00539",,"ok","single shrub","Standing dead",1.7,130,2.7,,,,1.6,1.6,,"half-sphere",3.5,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"b0d4c808-0e63-4e79-b9ab-ad45a529ae80","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00520",,"ok","single bole tree","Standing dead",10.1,130,6.9,,,,,,,,,,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"763073c2-cbb7-4312-bbde-420f4a209d26","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00656",,"ok","small shrub","Standing dead",,,0.4,,,,0.1,0.1,,"cylinder",2.2,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"3b9ba843-25ec-4bd2-a00a-c4216f8476ce","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00592",,"ok","single shrub","Standing dead",5.3,130,4.1,,,,3.8,2.5,,"cylinder",8.0,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
"9f35320b-9308-4b0e-a04b-1042eb3fed06","GRSM_052.basePlot.vst","2017-11-01","vst_GRSM_2017","D07","GRSM","GRSM_052",,"NEON.PLA.D07.GRSM.00579",,"ok","single shrub","Standing dead",2.8,130,2.6,,,,2.7,2.0,,"half-sphere",4.0,10,,,,"mpeterson@battelleecology.org","lelmore@battelleecology.org","legacyData"
