uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"c96977e3-988e-41e4-9a02-dc2eabcf0f02","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.01346",,"ok","single bole tree","Live",25.5,130,14.6,,,,7.4,5.3,"Partially shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"df10521e-b4e8-4087-8cb8-726874193ad6","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.01335",,"ok","single bole tree","Live",22.5,130,12.4,,,,6.4,5.9,"Mostly shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"545a1016-a9b4-4ce9-ba2e-ab4156d9d257","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.05796",,"ok","sapling","Live",,,0.3,,,,,,,,1.2,10,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"d33ee912-ca1d-4a76-af31-1fd9e29662aa","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00458",,"ok","small tree","Standing dead",6.8,130,6.4,,,,,,,,,,,,"cause of death unknown possibly suppression","mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"8fd21811-98fc-4112-9caa-7128c3f6691c","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00441",,"ok","single bole tree","Live",22.8,130,16.4,,,,8.3,5.2,"Mostly shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"18d312a3-7322-40ec-adc0-69b79b782a0c","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00428",,"ok","single bole tree","Live",40.4,130,22.5,,,,4.9,4.7,"Full sun",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"297a4639-1368-41d0-b864-a30f22d8e141","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.02458",,"ok","small tree","Live",2.1,130,2.0,,,,,,,,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"40834549-02c8-42d7-b66c-5937dda01c32","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00467",,"ok","single bole tree","Live",20.6,130,16.1,,,,5.9,5.5,"Partially shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"7b631255-79e0-44ab-9200-6db18cf706f0","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00435",,"ok","single bole tree","Live",24.7,130,16.7,,,,5.8,5.0,"Open grown",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"b064b2e7-439a-45a4-aed6-0946b23c39ff","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.05799",,"ok","sapling","Live, disease damaged",,,1.8,,,,,,,,1.6,10,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"0e2e3884-ca40-4b7f-9f87-4d0c25902000","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.05793",,"ok","sapling","Live, disease damaged",,,1.5,,,,1.0,,,,1.0,10,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"94bc415a-6f99-4135-adb7-07875be4d060","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.02459",,"ok","single bole tree","Live",13.3,130,11.6,,,,4.7,4.5,"Mostly shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"c6f26668-456b-434d-818f-5082cf45f2cd","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00444",,"ok","single bole tree","Live",22.6,130,12.9,,,,6.4,4.1,"Mostly shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"599ffd35-7abb-4b51-9c3c-b310f2d28215","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00447",,"ok","single bole tree","Live",20.0,130,12.5,,,,4.5,4.1,"Mostly shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"9591fd49-ce65-4012-a9d5-e1afb05cdc15","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.01858",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"too small; when big enough will be A for 1858","mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"e05207ac-c857-4d83-8933-a30095128a91","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00457",,"ok","sapling","Live",,,0.6,,,,,,,,1.0,10,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"c6d66485-060b-4976-a830-1b060c01af07","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00456",,"ok","small tree","Live",1.8,130,1.8,,,,,,,,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
"6ba50027-37ab-43b9-919a-c8869d13a61f","BART_011.basePlot.vst","2016-10-17","vst_BART_2016","D01","BART","BART_011",,"NEON.PLA.D01.BART.00427",,"ok","single bole tree","Live",29.7,130,16.7,,,,5.9,5.2,"Partially shaded",,,,,,,"mday@field-ops.org","Ramundson@field-ops.org","legacyData"
