uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"ac2a46c4-8da3-461d-832c-c4af4e293fe9","HARV_008.basePlot.vst","2015-09-03","D01","HARV","HARV_008","distributed","deciduousForest",42.444569,-72.226080,"WGS84",20.2,728131.58,4702866.59,"18N",241.6,0.2,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"10","noneSelected",400,80,400,,"llukas@field-ops.org","llukas@field-ops.org","legacyData"
"c2f7df74-4d8a-49b0-9002-f51a5b0cdafe","HARV_008.basePlot.vst","2015-09-03","D01","HARV","HARV_008","distributed","deciduousForest",42.444569,-72.226080,"WGS84",20.2,728131.58,4702866.59,"18N",241.6,0.2,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"10","noneSelected",400,80,400,"no transcription errors found","llukas@field-ops.org","llukas@field-ops.org","legacyData"
"912d89c1-1381-4c93-b428-c7b07f2cce6d","HARV_022.basePlot.vst","2015-09-03","D01","HARV","HARV_022","distributed","evergreenForest",42.434194,-72.198778,"WGS84",20.2,730415.14,4701788.24,"18N",188.1,0.2,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",400,200,400,,"dcrandall@neoninc.org","dcrandall@neoninc.org","legacyData"
"afd2af51-4902-4e72-9b72-18c4e276d0b0","HARV_027.basePlot.vst","2015-09-16","D01","HARV","HARV_027","distributed","evergreenForest",42.430357,-72.253256,"WGS84",20.2,725947.52,4701215.63,"18N",182.3,0.2,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"o transcription errors","dcrandall@neoninc.org","llukas@neoninc.org","legacyData"
"7bf19710-a21e-4da1-a1a6-91e5fc8c63a8","HARV_008.basePlot.vst","2015-09-17","D01","HARV","HARV_008","distributed","deciduousForest",42.444569,-72.226080,"WGS84",20.2,728131.58,4702866.59,"18N",241.6,0.2,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"10","noneSelected",400,80,400,,"sives@field-ops.org","llukas@field-ops.org","legacyData"
"0f3e5d35-197f-4a98-a3df-0490d39c72f4","HARV_008.basePlot.vst","2015-09-17","D01","HARV","HARV_008","distributed","deciduousForest",42.444569,-72.226080,"WGS84",20.2,728131.58,4702866.59,"18N",241.6,0.2,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"10","noneSelected",400,80,400,"no transcription errors found","sives@field-ops.org","llukas@field-ops.org","legacyData"
"727d5a20-6f51-4bf0-82f7-494c61d0fa78","HARV_020.basePlot.vst","2015-09-21","D01","HARV","HARV_020","distributed","woodyWetlands",42.436767,-72.228878,"WGS84",20.2,727929.75,4701992.66,"18N",225.4,0.3,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",400,200,400,,"gvanscoy@field-ops.org","gbreault@field-ops.org","legacyData"
"e7f42641-e970-43e5-a053-74602c959bb5","HARV_013.basePlot.vst","2015-09-21","D01","HARV","HARV_013","distributed","evergreenForest",42.392290,-72.254610,"WGS84",20.2,725972.85,4696984.75,"18N",184.3,0.3,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,,"dcrandall@neoninc.org","auccello@field-ops.org","legacyData"
"795d94a7-6787-4e75-8033-99583c3847ca","HARV_011.basePlot.vst","2015-09-22","D01","HARV","HARV_011","distributed","deciduousForest",42.455939,-72.238279,"WGS84",20.2,727087.13,4704096.49,"18N",231.6,0.3,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"10","noneSelected",400,80,400,,"ccahill@field-ops.org","ssmith@field-ops.org","legacyData"
"9af1330d-aaf4-46db-b68c-7e005a54f337","HARV_020.basePlot.vst","2015-09-22","D01","HARV","HARV_020","distributed","woodyWetlands",42.436767,-72.228878,"WGS84",20.2,727929.75,4701992.66,"18N",225.4,0.3,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",400,200,400,,"ccahill@field-ops.org","gbreault@field-ops.org","legacyData"
"76cda930-0fcc-41ea-a4ca-c709a35db760","HARV_026.basePlot.vst","2015-09-22","D01","HARV","HARV_026","distributed","evergreenForest",42.410787,-72.247263,"WGS84",20.3,726511.02,4699058.39,"18N",193.2,0.3,"vst_HARV_2015","NEON.DOC.000987vD",,,,,,,"10","noneSelected",400,80,400,,"dcrandall@neoninc.org","gbreault@field-ops.org","legacyData"
