uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"9f56462c-1bf4-4387-8a32-9f721a61138d","SERC_045.basePlot.vst","2015-03-23","D02","SERC","SERC_045","tower","deciduousForest",38.880974,-76.558720,"WGS84",20.2,364798.28,4304722.83,"18N",19.1,0.4,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment","mbelovitch@field-ops.org","mbelovitch@field-ops.org","legacyData"
"dd441e06-dc49-4ac3-806f-82825439ad53","SERC_045.basePlot.vst","2015-03-23","D02","SERC","SERC_045","tower","deciduousForest",38.880974,-76.558720,"WGS84",20.2,364798.28,4304722.83,"18N",19.1,0.4,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment",,"mbelovitch@field-ops.org","legacyData"
"da0ea28b-6951-4fb4-8440-6206ec88d5c6","SERC_045.basePlot.vst","2015-03-23","D02","SERC","SERC_045","tower","deciduousForest",38.880974,-76.558720,"WGS84",20.2,364798.28,4304722.83,"18N",19.1,0.4,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment",,"mbelovitch@field-ops.org","legacyData"
"ac86384e-4eae-4fcb-b819-6ccf439e4fbd","SERC_062.basePlot.vst","2015-03-23","D02","SERC","SERC_062","tower","deciduousForest",38.881782,-76.558030,"WGS84",20.2,364859.67,4304811.47,"18N",8.8,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment",,"mbelovitch@field-ops.org","legacyData"
"36d2ec77-67dd-44ac-802f-cb3e84d476b2","SERC_062.basePlot.vst","2015-03-23","D02","SERC","SERC_062","tower","deciduousForest",38.881782,-76.558030,"WGS84",20.2,364859.67,4304811.47,"18N",8.8,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment","hkatz@field-ops.org","mbelovitch@field-ops.org","legacyData"
"53f964fd-8f71-4592-b911-92879df92c96","SERC_062.basePlot.vst","2015-03-23","D02","SERC","SERC_062","tower","deciduousForest",38.881782,-76.558030,"WGS84",20.2,364859.67,4304811.47,"18N",8.8,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment",,"mbelovitch@field-ops.org","legacyData"
"faeeb07e-a41e-4190-8ad5-223fdb0dc28f","SERC_062.basePlot.vst","2015-03-23","D02","SERC","SERC_062","tower","deciduousForest",38.881782,-76.558030,"WGS84",20.2,364859.67,4304811.47,"18N",8.8,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment","tdavis01@field-ops.org","mbelovitch@field-ops.org","legacyData"
"f66d68f2-3b03-44f5-83d9-358fa15e8243","SERC_045.basePlot.vst","2015-03-23","D02","SERC","SERC_045","tower","deciduousForest",38.880974,-76.558720,"WGS84",20.2,364798.28,4304722.83,"18N",19.1,0.4,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Entire subplot measured for ShrubSapling; check for liana recruitment","rcumberland@field-ops.org","mbelovitch@field-ops.org","legacyData"
"6dd5ffff-2fca-4668-886c-52ca734ad918","SERC_050.basePlot.vst","2015-03-24","D02","SERC","SERC_050","tower","deciduousForest",38.881341,-76.561435,"WGS84",20.2,364563.47,4304767.58,"18N",16.5,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Lianas present measure entire subplot; entire subplot measured for ShrubSapling","gchapman@neoninc.org","hkatz@field-ops.org","legacyData"
"7224e1ea-472d-402e-aa6c-8eeaa1ad991b","SERC_051.basePlot.vst","2015-03-24","D02","SERC","SERC_051","tower","deciduousForest",38.882861,-76.558624,"WGS84",20.2,364810.19,4304932.10,"18N",9.2,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",800,100,800,"Check for liana recruitment",,"mbelovitch@field-ops.org","legacyData"
"fb8da179-7625-4b18-ab6a-2e08c0a448f8","SERC_051.basePlot.vst","2015-03-24","D02","SERC","SERC_051","tower","deciduousForest",38.882861,-76.558624,"WGS84",20.2,364810.19,4304932.10,"18N",9.2,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",800,100,800,"Check for liana recruitment",,"mbelovitch@field-ops.org","legacyData"
"786e62ae-108b-4bdd-8967-00b846c30a83","SERC_051.basePlot.vst","2015-03-24","D02","SERC","SERC_051","tower","deciduousForest",38.882861,-76.558624,"WGS84",20.2,364810.19,4304932.10,"18N",9.2,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",800,100,800,"Check for liana recruitment","gchapman@neoninc.org","mbelovitch@field-ops.org","legacyData"
"bc5ad70c-6e94-4b0d-97ed-13ca61fe3196","SERC_051.basePlot.vst","2015-03-24","D02","SERC","SERC_051","tower","deciduousForest",38.882861,-76.558624,"WGS84",20.2,364810.19,4304932.10,"18N",9.2,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",800,100,800,"Check for liana recruitment","hkatz@field-ops.org","mbelovitch@field-ops.org","legacyData"
"5391ee04-4473-4d3e-84ad-e6118b5f408e","SERC_050.basePlot.vst","2015-03-24","D02","SERC","SERC_050","tower","deciduousForest",38.881341,-76.561435,"WGS84",20.2,364563.47,4304767.58,"18N",16.5,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Lianas present measure entire subplot; entire subplot measured for ShrubSapling",,"hkatz@field-ops.org","legacyData"
"696fcba8-fbcd-497f-bc3d-772d78ddf4d1","SERC_050.basePlot.vst","2015-03-25","D02","SERC","SERC_050","tower","deciduousForest",38.881341,-76.561435,"WGS84",20.2,364563.47,4304767.58,"18N",16.5,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Lianas present measure entire subplot; entire subplot measured for ShrubSapling","hkatz@field-ops.org","hkatz@field-ops.org","legacyData"
"fa46020d-c059-4652-9b63-fdafb1155f30","SERC_050.basePlot.vst","2015-03-25","D02","SERC","SERC_050","tower","deciduousForest",38.881341,-76.561435,"WGS84",20.2,364563.47,4304767.58,"18N",16.5,0.2,"vst_SERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,"Lianas present measure entire subplot; entire subplot measured for ShrubSapling",,"hkatz@field-ops.org","legacyData"
