uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"8f8d4dfb-a711-4b9f-8d89-8946559a671f","JERC_062.basePlot.vst","2015-08-18","D03","JERC","JERC_062","tower","evergreenForest",31.196807,-84.466929,"WGS84",20.2,741360.95,3454178.14,"16N",35.4,0.4,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"mkerstein@neoninc.org","tantony@field-ops.org","legacyData"
"800953f0-dd47-429d-8587-232c7cca58d8","JERC_047.basePlot.vst","2015-08-18","D03","JERC","JERC_047","tower","evergreenForest",31.198437,-84.467181,"WGS84",20.1,741332.79,3454358.32,"16N",35.3,0.2,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"jkilmer@field-ops.org","rvistocci@field-ops.org","legacyData"
"6f56762d-f73d-43d2-ba52-9624cfa7b08e","JERC_062.basePlot.vst","2015-08-18","D03","JERC","JERC_062","tower","evergreenForest",31.196807,-84.466929,"WGS84",20.2,741360.95,3454178.14,"16N",35.4,0.4,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"mkerstein@field-ops.org","rvistocci@field-ops.org","legacyData"
"0e2eacec-affa-46fe-8c11-161d853a5a8f","JERC_047.basePlot.vst","2015-08-19","D03","JERC","JERC_047","tower","evergreenForest",31.198437,-84.467181,"WGS84",20.1,741332.79,3454358.32,"16N",35.3,0.2,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",800,100,800,"transcription errors: nestedsubplotareashubsapling missing; date corrected from 20150818 to 20150819","jkilmer@field-ops.org","tantony@field-ops.org","legacyData"
"0ffe1134-44b1-4e90-b623-1d8c9f2c7b8f","JERC_054.basePlot.vst","2015-08-19","D03","JERC","JERC_054","tower","evergreenForest",31.197928,-84.468818,"WGS84",20.1,741178.06,3454298.31,"16N",47.5,0.2,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"jkilmer@field-ops.org","rvistocci@field-ops.org","legacyData"
"171dbc24-8262-474f-9b12-d80b97696be8","JERC_054.basePlot.vst","2015-08-20","D03","JERC","JERC_054","tower","evergreenForest",31.197928,-84.468818,"WGS84",20.1,741178.06,3454298.31,"16N",47.5,0.2,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"jshaffer@field-ops.org","rvistocci@field-ops.org","legacyData"
"072e9cf6-6cb6-4663-8c40-5cfb862010fb","JERC_050.basePlot.vst","2015-08-24","D03","JERC","JERC_050","tower","evergreenForest",31.196842,-84.468194,"WGS84",20.3,741240.29,3454179.26,"16N",37.9,0.4,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"jkilmer@field-ops.org","rvistocci@field-ops.org","legacyData"
"8cc19817-d67e-4970-8e24-614fd2eea6f5","JERC_050.basePlot.vst","2015-08-25","D03","JERC","JERC_050","tower","evergreenForest",31.196842,-84.468194,"WGS84",20.3,741240.29,3454179.26,"16N",37.9,0.4,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"jkilmer@field-ops.org","rvistocci@field-ops.org","legacyData"
"fffa66cb-527b-4ec6-a7ed-d167595bc350","JERC_055.basePlot.vst","2015-08-25","D03","JERC","JERC_055","tower","evergreenForest",31.194074,-84.465132,"WGS84",20.1,741539.18,3453879.03,"16N",41.8,0.3,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"jkilmer@field-ops.org","rvistocci@field-ops.org","legacyData"
"3e823471-edcf-4542-ab91-fef5691220f2","JERC_056.basePlot.vst","2015-08-26","D03","JERC","JERC_056","tower","evergreenForest",31.194637,-84.466362,"WGS84",20.2,741420.51,3453938.77,"16N",44.1,0.3,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",800,100,800,"no transcription errors","cproia@field-ops.org","rvistocci@field-ops.org","legacyData"
"f82d4b23-bdd5-4c2e-b913-9a66a5a5274a","JERC_053.basePlot.vst","2015-08-26","D03","JERC","JERC_053","tower","evergreenForest",31.194043,-84.463550,"WGS84",20.1,741690.04,3453879.06,"16N",44.9,0.1,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"smatlick@field-ops.org","rvistocci@field-ops.org","legacyData"
"b2911809-3d29-415a-a6d2-bdee4af46138","JERC_056.basePlot.vst","2015-08-26","D03","JERC","JERC_056","tower","evergreenForest",31.194637,-84.466362,"WGS84",20.2,741420.51,3453938.77,"16N",44.1,0.3,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",800,100,800,"transcription error: 25 placed under nestedsubplotarealianas rather than nestedsubplotareashrubsapling","psoucy@field-ops.org","tantony@field-ops.org","legacyData"
"e7f6a3fc-da4a-45ac-885d-3e03430dfa77","JERC_052.basePlot.vst","2015-08-27","D03","JERC","JERC_052","tower","evergreenForest",31.195408,-84.464141,"WGS84",20.2,741630.24,3454029.11,"16N",46.1,0.2,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"psoucy@field-ops.org","rvistocci@field-ops.org","legacyData"
"4759adaa-8acd-4fd0-8dc3-e60dd64cd3f9","JERC_052.basePlot.vst","2015-08-31","D03","JERC","JERC_052","tower","evergreenForest",31.195408,-84.464141,"WGS84",20.2,741630.24,3454029.11,"16N",46.1,0.2,"vst_JERC_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",800,800,800,,"jshaffer@field-ops.org","rvistocci@field-ops.org","legacyData"
