uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"0e742964-ae6d-4eee-8db7-cbb45e6e5de5","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04719",,"ok","sapling","Live",,,,,,,,,,,1.0,10,,,"Canopy measurements were not recorded in the datasheet.","lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"18097f8d-6505-4117-a40c-ab7e7f123dc4","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04708",,"ok","single shrub","Live",1.9,130,4.1,,,,1.6,1.5,,"cylinder",,,,,"No stem basal diameter measurements were recorded in the datasheet.","lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"fc2833fc-eba3-4a06-95a5-22e974a620a1","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04726",,"ok","small tree","Live",6.0,130,,,,,,,,,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"e5f247cd-89d8-4acb-bad0-6ac2fc474d92","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04281",,"ok","liana","Live",1.5,130,,,,,,,,,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"5e5844f3-15fe-46e5-8b7f-50ebc8f74757","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04099",,"ok","multi-bole tree","Live",11.0,130,6.1,,,,8.0,7.0,"Full sun",,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"9267b826-fb84-4a1f-b125-444bfe787131","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04202",,"ok","single bole tree","Live",13.0,130,5.5,,,,4.7,4.1,"Partially shaded",,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"5c444e8c-2c8b-457d-937f-d8c38f1a91bb","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04981",,"ok","single bole tree","Live",12.0,130,4.6,,,,3.7,3.3,"Full sun",,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"05d3b29b-f89e-433e-964a-a7f38f6301da","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04749",,"ok","sapling","Live",,,,,,,,,,,1.1,10,,,"Height measurements were not recorded in the datasheet.","lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"862df658-37f7-48ba-9157-7d141a7e5850","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.03295",,"ok","small tree","Live",6.8,130,,,,,,,,,,,,,"Height and canopy measurements were not recorded in the datasheet.","lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"e219d01d-8394-4964-b26b-fabb57dd3a70","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04273",,"ok","single bole tree","Live",28.0,130,4.4,,,,8.5,6.9,"Open grown",,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"e108b7b9-24f2-43ec-9c81-335b3ed7df6e","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04010",,"ok","small tree","Live, insect damaged",4.9,130,,,,,,,,,,,,,"Height and canopy measurements were not recorded in the datasheet.","lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"3a847b05-9e8a-4f5f-971b-b616aad4fa0e","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04099A",,"ok","multi-bole tree","Live",10.3,130,6.1,,,,8.0,7.0,"Full sun",,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"ee4400d0-2e2f-420f-82ac-3631a78135e2","GUAN_018.basePlot.vst","2016-02-16","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04274",,"ok","small tree","Standing dead",5.5,130,,,,,,,,,,,,,,"lrivera@field-ops.org","wplaza-muniz@neoninc.org","legacyData"
"f9b2b5c7-d02f-4a2c-b2c1-cb1631a61990","GUAN_018.basePlot.vst","2016-02-17","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04225",,"ok","single shrub","Live",5.7,130,6.2,,,,1.9,1.5,,"inverted cone",8.0,10,0.10,0.08,,"mpagan@neoninc.org","lrivera@field-ops.org","legacyData"
"4655047c-9854-43d0-99ba-bac9d7523a63","GUAN_018.basePlot.vst","2016-02-17","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04138",,"ok","small tree","Live",1.0,130,,,,,,,,,,,,,"Height and canopy measurements were not recorded on the datasheet.","mpagan@neoninc.org","lrivera@field-ops.org","legacyData"
"326d0918-aebb-49e3-88a1-09865a6cd2b3","GUAN_018.basePlot.vst","2016-02-17","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04244",,"ok","small tree","Live",6.5,130,,,,,,,,,,,,,"Height and canopy measurements were not recorded on the datasheet.","mpagan@neoninc.org","lrivera@field-ops.org","legacyData"
"ce592d93-6852-4b56-b328-f4c60f35decf","GUAN_018.basePlot.vst","2016-02-17","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04219",,"ok","small tree","Live, insect damaged",7.5,130,,,,,,,,,,,,,"Height and canopy measurements were not recorded on the datasheet.","mpagan@neoninc.org","lrivera@field-ops.org","legacyData"
"e1071f5c-8bb3-4adb-9568-bbbbaa3c06c5","GUAN_018.basePlot.vst","2016-02-17","vst_GUAN_2016","D04","GUAN","GUAN_018",,"NEON.PLA.D04.GUAN.04220",,"ok","single shrub","Live, insect damaged",5.2,130,7.7,,,,4.0,3.2,,"inverted cone",3.6,10,0.05,0.05,,"mpagan@neoninc.org","lrivera@field-ops.org","legacyData"
