uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"b15f6512-97b5-4ae6-a7e9-65837ea962c7","STEI_053.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_053",,"NEON.PLA.D05.STEI.01248",,"ok","small tree","Standing dead",2.8,130,8.0,,,,,,,,,,,,,"Akantola@field-ops.org","KMcMahon@neoninc.org","legacyData"
"a6e04f9c-4591-43b0-91e0-036a3cd6f82c","STEI_053.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_053",,"NEON.PLA.D05.STEI.01641",,"ok","sapling","Live",,,2.2,,,,,,,,1.5,10,,,,"Akantola@field-ops.org","KMcMahon@neoninc.org","legacyData"
"f6ab7cbb-e1cf-497d-908b-2b6f131e5691","STEI_051.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_051",,"NEON.PLA.D05.STEI.01027",,"ok","small tree","Live",4.6,130,4.2,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"62492714-45d8-4dfb-9ee3-0cd699188940","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01106",,"ok","small shrub","Live",,,0.8,0.3,,,0.3,0.2,,"ellipsoid or sphere",1.1,10,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"dc566c0a-6a04-4026-8947-3b0727f4d9d5","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01315",,"ok","single bole tree","Live",15.0,130,13.3,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"b99e9cfa-9df3-4b9d-9823-08dfd7514a1d","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01005",,"ok","single shrub","Live",2.1,130,5.4,0.5,,,1.9,1.8,,"ellipsoid or sphere",3.3,20,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"6b1e4cd8-6090-41f6-aa64-8a003d40f5b9","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01235",,"ok","small tree","Live",1.4,130,2.2,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"5ad13c8e-11b7-4c98-8b88-d058d4f92a58","STEI_053.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_053",,"NEON.PLA.D05.STEI.01692",,"ok","single bole tree","Live",11.1,130,10.8,,,,,,,,,,,,,"Akantola@field-ops.org","KMcMahon@neoninc.org","legacyData"
"d088654f-9120-4457-8a5d-0765396a3e83","STEI_053.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_053",,"NEON.PLA.D05.STEI.01669",,"ok","small tree","Live",4.5,130,7.8,,,,,,,,,,,,,"Akantola@field-ops.org","KMcMahon@neoninc.org","legacyData"
"2e6fd231-a5fb-4a83-ad22-9c4d60e8cfb0","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01053",,"ok","small shrub","Live",,,1.3,0.6,,,0.5,0.4,,"ellipsoid or sphere",1.4,10,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"3b212658-1ace-49a1-b6c5-c9d6fb3d573b","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.05510",,"ok","small shrub","Live",,,1.4,0.6,,,0.5,0.4,,"ellipsoid or sphere",1.3,10,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"bd20b8b3-cbab-49e7-88a2-9e1579a48232","STEI_051.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_051",,"NEON.PLA.D05.STEI.01350",,"ok","single bole tree","Live",21.0,130,16.0,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"6507a19c-42af-40db-920f-ee35edd5c85a","STEI_051.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_051",,"NEON.PLA.D05.STEI.01022",,"ok","single bole tree","Live",22.1,130,17.5,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"84de2a1a-d5e0-4d27-9fd1-2374dcfdd19f","STEI_051.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_051",,"NEON.PLA.D05.STEI.01329",,"ok","small tree","Live",2.0,130,3.3,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"10dd4b00-586a-424d-920d-54ca282ae0a6","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01005",,"ok","single shrub","Live",2.7,130,5.4,0.5,,,1.9,1.8,,"ellipsoid or sphere",4.4,10,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"1d2be682-b9a6-4a2b-8f58-10fa49411979","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01002",,"ok","small shrub","Live",,,1.3,0.2,,,1.1,0.7,,"ellipsoid or sphere",1.4,10,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"0fe12c97-1d7c-41ca-b6ed-bfdc0c119f5a","STEI_053.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_053",,"NEON.PLA.D05.STEI.01698",,"ok","small tree","Standing dead",1.7,130,4.0,,,,,,,,,,,,,"Akantola@field-ops.org","KMcMahon@neoninc.org","legacyData"
"475d4ba5-cbba-4c22-9d72-453973329e73","STEI_051.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_051",,"NEON.PLA.D05.STEI.01028",,"ok","small tree","Live",1.6,130,3.8,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"baae9099-b353-4a83-913d-567832d496e1","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01341",,"ok","small tree","Live",1.4,130,2.1,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"ec78a746-4634-4456-ba60-688d028f8716","STEI_051.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_051",,"NEON.PLA.D05.STEI.01132",,"ok","single bole tree","Live",21.2,130,16.7,,,,,,,,,,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
"8bbe83a3-77a9-4713-8bc0-22edd7faf030","STEI_053.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_053",,"NEON.PLA.D05.STEI.01455",,"ok","small tree","Live",7.8,130,9.0,,,,,,,,,,,,,"Akantola@field-ops.org","KMcMahon@neoninc.org","legacyData"
"5ec77310-76fb-447e-be2d-1ddf87873829","STEI_061.basePlot.vst","2016-11-02","vst_STEI_2016","D05","STEI","STEI_061",,"NEON.PLA.D05.STEI.01067",,"ok","single shrub","Live",5.1,130,6.8,1.3,,,4.2,3.6,,"ellipsoid or sphere",7.2,10,,,,"akantola@field-ops.org","kmcmahon@neoninc.org","legacyData"
