uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"221b9230-66fb-4e0c-a103-e19fc05b8a61","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03156",,"ok","sapling","Live",,,1.1,,,,,,,,2.1,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"84c1149e-c2b5-4259-a68b-fd7e94c47c87","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.02085",,"ok","sapling","Live",,,1.5,,,,,,,,1.2,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"9ceb6079-a35c-4be4-907d-c33541e6482b","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.01111",,"ok","sapling","Live",,,1.0,,,,,,,,1.4,15,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"e52de43e-e7ed-4ab8-be42-7be9d08af5e0","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.01629",,"ok","small shrub","Live",,,1.1,0.6,,,1.3,0.8,,"inverted cone",1.4,10,0.80,0.40,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"cc3e878c-c5fe-4009-9870-385ff7132fe9","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.01513",,"ok","single bole tree","Live",28.7,130,23.8,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"fe60cbd4-02ce-4088-8c3e-e7224ae061cd","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.00215",,"ok","sapling","Live",,,2.1,,,,,,,,1.5,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"711abe22-3cb2-4a23-a77f-58cf9a7ac26a","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03243",,"ok","small tree","Live",8.0,130,7.9,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"584fa124-ea25-4807-ab8e-aecc37dd72d3","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03412",,"ok","single bole tree","Live",25.3,130,23.6,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"b017da42-e091-42ac-8c72-c61edcae0759","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03013",,"ok","sapling","Live",,,1.2,,,,,,,,1.0,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"e3320d09-b015-415a-a992-daa4f5597475","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03032",,"ok","small tree","Live",1.1,130,2.3,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"a1877eb0-f872-450c-8a8b-ecff434e9583","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.01951",,"ok","small tree","Live",1.8,130,4.3,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"c4e0ed94-3174-4659-8203-f0ce22a2b20b","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.04496",,"ok","single bole tree","Live",16.9,130,13.9,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"5e464892-1722-4d9c-ba46-4a68dc309460","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03042",,"ok","sapling","Live",,,3.0,,,,,,,,1.3,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"2c83bcaf-bdcd-4e53-bddf-438e4eec2bec","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.02322",,"ok","single bole tree","Live",19.0,130,18.2,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"20983345-6a04-4e8c-bb03-89090433ebd3","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.01916",,"ok","small tree","Live",1.0,130,2.2,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"34c4b93a-9d5b-4d20-97e5-28cec084b2da","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.04331",,"ok","sapling","Live",,,2.0,,,,,,,,1.4,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"83dc632c-bb05-4ef9-89bb-1a7b1c89ad76","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03110",,"ok","sapling","Live",,,1.4,,,,,,,,1.0,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"4642e585-d205-4936-a5e3-8f2f40f01e23","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03513",,"ok","single bole tree","Live",27.2,130,22.0,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"2f23c3c7-73ac-4863-b398-12b7bdb2e7e8","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.01830",,"ok","sapling","Live",,,2.9,,,,,,,,1.6,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"45c749df-1980-414a-930d-547d88356d04","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.00960",,"ok","small tree","Standing dead",3.8,130,4.2,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"ab7757db-0f66-42b3-8373-5c6bf19ce28e","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03217",,"ok","single bole tree","Live",30.1,130,19.0,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"63a149e2-f5d9-447a-801b-469cd5d9001c","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03065",,"ok","single bole tree","Live",15.9,130,11.7,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"10f15d04-59d0-4b2f-9a53-1b0f2b593ffc","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.01113",,"ok","single bole tree","Live",38.5,130,23.9,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"2e264145-871e-4953-8022-d81307c7b4c9","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03157",,"ok","single bole tree","Live",35.0,130,21.5,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"cd91050e-b1e9-4fb2-ba8f-2d6a2d1c5356","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03025",,"ok","sapling","Live",,,1.6,,,,,,,,1.2,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"fce06428-7f18-4120-92be-12b3a9db54e0","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03055",,"ok","single bole tree","Live",18.5,130,16.6,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"6b2c6973-b859-4d59-a962-160f950e2ae5","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.02326",,"ok","sapling","Live",,,1.3,,,,,,,,1.1,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"b1b213e7-07ee-452c-afaa-8641c8b90635","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.09295",,"ok","sapling","Live",,,1.6,,,,,,,,1.1,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"63d21161-1d4c-4a3e-8808-bcd67d4a1a64","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.00277",,"ok","single bole tree","Live",16.0,130,14.4,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"b90c7dc2-c5e9-4c76-bd19-390fd74a0478","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03134",,"ok","single bole tree","Live",36.3,130,21.8,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"d2887083-b78d-4287-899b-74400eb6698e","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03066",,"ok","single bole tree","Live",14.1,130,9.9,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"201f77b4-70cb-4862-b7c6-e936bb244cb1","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03236",,"ok","single bole tree","Dead, broken bole",26.7,130,2.7,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"abeada5f-3bb0-4487-907f-09bb2e7292a4","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.03012",,"ok","sapling","Live",,,1.2,,,,,,,,1.0,10,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
"039b58dc-2f4c-44b4-8c61-6e98f987e7b9","UNDE_061.basePlot.vst","2017-09-19","vst_UNDE_2017","D05","UNDE","UNDE_061",,"NEON.PLA.D05.UNDE.00604",,"ok","single bole tree","Live",26.2,130,22.8,,,,,,,,,,,,,"tspadea@battelleecology.org","kpalo@battelleecology.org","legacyData"
