uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"b634dfb6-d247-4e51-a722-4f42631433dc","UNDE_058.basePlot.vst","2017-08-10","D05","UNDE","UNDE_058","tower","deciduousForest",46.231090,-89.538847,"WGS84",20.1,304233.89,5122856.84,"16N",520.6,0.2,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kmcmahon@neoninc.org","kpalo@battelleecology.org",
"aeb86309-468f-42fa-a024-29855f2a7ae2","UNDE_048.basePlot.vst","2017-08-10","D05","UNDE","UNDE_048","tower","mixedForest",46.232136,-89.540445,"WGS84",20.1,304114.40,5122977.00,"16N",526.9,0.2,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kstyers@battelleecology.org","kpalo@battelleecology.org",
"9065ed41-81ff-4c12-b506-57a5fa037b9d","UNDE_065.basePlot.vst","2017-08-16","D05","UNDE","UNDE_065","tower","mixedForest",46.236316,-89.533642,"WGS84",20.2,304653.78,5123424.65,"16N",516.2,0.3,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"10","noneSelected",800,40,800,,"kmcmahon@neoninc.org","kstyers@battelleecology.org",
"dfc8dcee-6bc4-4149-87fb-04b723bf450c","UNDE_047.basePlot.vst","2017-08-16","D05","UNDE","UNDE_047","tower","deciduousForest",46.232770,-89.536561,"WGS84",20.2,304416.13,5123037.86,"16N",509.8,0.3,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kmcmahon@neoninc.org","dfang@battelleecology.org",
"6356f298-faf2-4d6a-9cab-fb93b2555525","UNDE_058.basePlot.vst","2017-08-16","D05","UNDE","UNDE_058","tower","deciduousForest",46.231090,-89.538847,"WGS84",20.1,304233.89,5122856.84,"16N",520.6,0.2,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kmcmahon@neoninc.org","kstyers@battelleecology.org",
"a81d36bd-09d6-45d9-963f-ac58766574ea","UNDE_044.basePlot.vst","2017-08-16","D05","UNDE","UNDE_044","tower","mixedForest",46.231744,-89.532640,"WGS84",20.3,304714.81,5122914.20,"16N",507.4,0.4,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kmcmahon@neoninc.org","dfang@battelleecology.org",
"a0b19208-5e91-4aba-9568-fb8e3d5fe314","UNDE_056.basePlot.vst","2017-08-16","D05","UNDE","UNDE_056","tower","deciduousForest",46.232061,-89.543162,"WGS84",20.1,303904.64,5122975.39,"16N",528.7,0.2,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kmcmahon@neoninc.org","dfang@battelleecology.org",
"1c4a16e2-7739-4dd5-8fa3-9ce24090ecf8","UNDE_038.basePlot.vst","2017-08-16","D05","UNDE","UNDE_038","tower","woodyWetlands",46.232246,-89.534567,"WGS84",20.2,304568.01,5122974.72,"16N",506.7,0.3,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kmcmahon@neoninc.org","dfang@battelleecology.org",
"056adbd8-f25d-41ea-84aa-b108b1a88613","UNDE_050.basePlot.vst","2017-08-16","D05","UNDE","UNDE_050","tower","deciduousForest",46.229500,-89.537992,"WGS84",20.2,304294.16,5122678.07,"16N",513.0,0.2,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"25","noneSelected",800,100,800,,"kmcmahon@neoninc.org","dfang@battelleecology.org",
"9c33540b-2eef-4057-ab02-a84410eb0bff","UNDE_060.basePlot.vst","2017-08-16","D05","UNDE","UNDE_060","tower","deciduousForest",46.231420,-89.535710,"WGS84",20.2,304476.95,5122885.76,"16N",507.9,0.3,"vst_UNDE_2017","NEON.DOC.000987vG",,,,,,,"100","noneSelected",800,400,800,,"kmcmahon@neoninc.org","kstyers@battelleecology.org",
