uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"0e84d460-2731-41a2-aa65-faa40f895c38","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00568",,"ok","small shrub","Live",,,1.0,,,,0.6,0.4,,"cylinder",1.2,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"f7230752-6044-433d-82c4-9b6fb377d70a","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00592",,"ok","single bole tree","Live",17.4,130,4.7,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"7607bf17-71c5-4f66-b847-bdee61617e96","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05317",,"ok","sapling","Live",,,1.3,,,,,,,,1.1,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"853a1302-e0e1-42d0-8efd-37a1289d2e90","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.02770",,"ok","small shrub","Live",,,,,,,,,,,1.4,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"96986079-f0fb-4b65-84ea-9b410b17eb6d","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00537",,"ok","single bole tree","Live",40.0,130,17.3,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"aba4ce0e-3397-4ac9-a5d1-645bb7e417f2","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00544",,"ok","single bole tree","Live",12.3,140,9.2,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"73dda518-f7e9-492b-bf0a-253fc2055176","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05328",,"ok","sapling","Live",,,1.2,,,,,,,,1.2,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"5619142f-1202-46ee-820d-62397872401f","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.02770",,"ok","single shrub","Live",,,1.8,,,,,,,"half-sphere",1.4,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"88d8e961-6a79-426a-b127-d21b32dc136e","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.02783",,"ok","sapling","Live",,,1.7,,,,,,,,1.6,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"171b6f96-249e-4aea-8af8-515bd4849ff5","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00555",,"ok","liana","Live",2.0,130,,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"4e32ac00-33bc-4c52-bf85-6e500c87995f","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05331",,"ok","sapling","Live",,,1.7,,,,,,,,1.2,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"822619e7-6d0c-496b-a767-2b0054dade9d","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05316",,"ok","sapling","Live",,,1.4,,,,,,,,1.1,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"ca572560-3fc4-43df-ba79-60a230d5de2a","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00563",,"ok","single bole tree","Live",37.3,130,18.3,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"e64f9b23-2a45-4a77-bb20-0fd0b0a6b490","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00543",,"ok","sapling","Live",,,1.9,,,,,,,,1.8,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"5a42c03f-6e6e-44a4-a0e4-c5b16f6e23b9","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00530",,"ok","sapling","Standing dead",,,1.6,,,,,,,,1.9,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"3b61eb75-d05b-43eb-a72f-e868eb179c9f","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00551",,"ok","single bole tree","Live",11.8,130,8.0,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"39fddc4c-60ce-423d-b100-5d98c7e4208f","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00572",,"ok","small tree","Live",1.4,130,2.1,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"e94b6597-7ecb-4845-b926-0b12b5524c76","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00536",,"ok","small tree","Live",4.5,130,7.2,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"0bbd2bc2-5aed-48f5-8256-820e89234809","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00548",,"ok","sapling","Live",,,2.1,,,,,,,,1.1,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"8a235e32-025b-4f8d-8bf8-150b068362d5","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.02770",,"ok","small shrub","Live",,,,,,,,,,,1.2,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"8f80b73e-4b79-4f82-82fe-87db4b3ecda9","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05320",,"ok","sapling","Live",,,1.3,,,,,,,,1.1,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"2caee4a2-2097-4f06-8677-76093db8c412","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00557",,"ok","single bole tree","Live",13.9,130,11.3,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"0cd254f4-3675-4eb5-82a8-703a75aac952","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00535",,"ok","single bole tree","Live",17.0,130,8.8,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"5c868543-dc09-43e3-a68a-e55da6393734","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00594",,"ok","small shrub","Lost, fate unknown",,,,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"5f2572f6-6bdd-49ab-80ad-931dd540322f","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00523",,"ok","single bole tree","Live",31.7,130,18.1,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"d24e57f5-2e4f-4919-8b83-a5352a492574","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.02787",,"ok","sapling","Live",,,0.9,,,,,,,,1.2,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"6690e4d2-e303-4112-8c6f-422dbb08aee0","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05329",,"ok","sapling","Live",,,1.4,,,,,,,,1.2,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"a2582de3-9cfb-46f8-8ec2-3f63ee74f4bb","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.00531",,"ok","liana","Live",11.4,130,,,,,,,,,,,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"651d383c-cbde-4280-ac53-8807303165f1","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05318",,"ok","sapling","Live",,,1.2,,,,,,,,1.0,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
"0957dff5-d8b6-4534-8775-7ccb3eeab868","UKFS_043.basePlot.vst","2017-10-02","vst_UKFS_2017","D06","UKFS","UKFS_043",,"NEON.PLA.D06.UKFS.05313",,"ok","sapling","Live",,,1.2,,,,,,,,1.1,10,,,,"sferguson@battelleecology.org","kkelly@battelleecology.org","legacyData"
