uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"f6cfb796-8ba0-446c-b30a-3458e7162cbb","UKFS_043.basePlot.vst","2017-10-02","D06","UKFS","UKFS_043","tower","deciduousForest",39.035201,-95.194410,"WGS84",20.1,310066.68,4322974.21,"15N",292.1,0.2,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","100","noneSelected",800,400,800,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"5b3fd00e-0d76-4e2e-af65-07528533982b","UKFS_047.basePlot.vst","2017-10-03","D06","UKFS","UKFS_047","tower","deciduousForest",39.040155,-95.190753,"WGS84",20.1,310396.48,4323516.41,"15N",316.6,0.2,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y",,"Y","presentInAll","100","noneSelected",800,400,800,,"sferguson@battelleecology.org","kkelly@battelleecology.org",
"5d0deef3-39ab-4be0-8f85-e80427d208fe","UKFS_058.basePlot.vst","2017-10-05","D06","UKFS","UKFS_058","tower","deciduousForest",39.039343,-95.191076,"WGS84",20.3,310366.35,4323426.96,"15N",310.4,0.3,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","N",,"Y","presentInAll","noneSelected","noneSelected",800,800,800,,"oandoe@battelleecology.org","sferguson@battelleecology.org",
"c69dd55e-eacc-406c-aae7-851b28c6a257","UKFS_051.basePlot.vst","2017-10-11","D06","UKFS","UKFS_051","tower","evergreenForest",39.043336,-95.193274,"WGS84",20.1,310186.79,4323874.73,"15N",324.4,0.1,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","N",,"Y","21","25","noneSelected",800,100,800,,"oandoe@battelleecology.org","sferguson@battelleecology.org",
"f2701a61-2a1f-4ba8-9bbc-609bf6238b63","UKFS_057.basePlot.vst","2017-10-12","D06","UKFS","UKFS_057","tower","mixedForest",39.042534,-95.193596,"WGS84",20.1,310156.77,4323786.39,"15N",321.5,0.1,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","N",,"Y","39","25","noneSelected",800,100,800,,"jgutierrez@battelleecology.org","jladner@battelleecology.org",
"341751af-bf66-4d2f-9a95-f0c7796da89d","UKFS_048.basePlot.vst","2017-10-19","D06","UKFS","UKFS_048","tower","deciduousForest",39.034471,-95.191979,"WGS84",20.2,310275.15,4322888.11,"15N",278.2,0.2,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","noneSelected","noneSelected",800,800,800,,"sferguson@battelleecology.org","kkelly@battelleecology.org",
"8ef4d64d-5cdf-44e6-b682-e2900a3e6299","UKFS_052.basePlot.vst","2017-10-20","D06","UKFS","UKFS_052","tower","deciduousForest",39.036551,-95.195146,"WGS84",20.2,310006.58,4323125.58,"15N",295.6,0.4,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","39_3","Y","presentInAll","25","noneSelected",800,100,800,,"cwiechman@battelleecology.org","cfanshier@battelleecology.org",
"977c3aa0-2502-4f0a-99f5-2a685dbe09d3","UKFS_055.basePlot.vst","2017-10-23","D06","UKFS","UKFS_055","tower","deciduousForest",39.044352,-95.197127,"WGS84",20.1,309856.03,4323995.55,"15N",306.0,0.1,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y",,"Y","presentInAll","25","noneSelected",800,100,800,,"kkelly@battelleecology.org","sferguson@battelleecology.org",
"468cb72f-a6ab-4f68-a9e1-6d0051262bd3","UKFS_053.basePlot.vst","2017-10-25","D06","UKFS","UKFS_053","tower","deciduousForest",39.039107,-95.189326,"WGS84",20.1,310517.20,4323397.12,"15N",303.1,0.1,"vst_UKFS_2017","NEON.DOC.000987vG","N",,"N",,"N",,"100","noneSelected",800,400,800,,"msanders@field-ops.org","msanders@field-ops.org",
"2a7a117e-79a1-476f-8ad1-3ded0d7d55de","UKFS_054.basePlot.vst","2017-10-26","D06","UKFS","UKFS_054","tower","deciduousForest",39.034221,-95.189175,"WGS84",20.1,310517.21,4322854.51,"15N",296.1,0.1,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y",,"Y","presentInAll","100","noneSelected",800,400,800,,"oandoe@battelleecology.org","jladner@battelleecology.org",
"a78cf5ce-a2cf-4b28-b812-8fc6a76934f2","UKFS_059.basePlot.vst","2017-10-26","D06","UKFS","UKFS_059","tower","deciduousForest",39.035279,-95.191639,"WGS84",20.2,310306.75,4322977.08,"15N",279.4,0.3,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","presentInAll","25","noneSelected",800,100,800,,"jladner@battelleecology.org","sferguson@battelleecology.org",
"f39e921c-bf2d-40da-ad7d-676da1400e23","UKFS_056.basePlot.vst","2017-10-27","D06","UKFS","UKFS_056","tower","deciduousForest",39.036952,-95.188549,"WGS84",20.1,310578.69,4323156.32,"15N",292.5,0.2,"vst_UKFS_2017","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","Y","21","25","noneSelected",800,100,800,,"cwiechman@battelleecology.org","kkelly@battelleecology.org",
