uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"24341bea-8c04-475e-a18a-a47d694635ae","GRSM_052.basePlot.vst","2017-11-01","D07","GRSM","GRSM_052","tower","mixedForest",35.692347,-83.500764,"WGS84",20.2,273716.79,3952708.32,"17N",590.1,0.3,"vst_GRSM_2017","NEON.DOC.000987vG","Y",,"Y",,"Y",,"100","noneSelected",800,400,800,,"lelmore@battelleecology.org","mpeterson@battelleecology.org",
"50b14263-4e41-4c96-bf83-764a436a3ee9","GRSM_049.basePlot.vst","2017-11-02","D07","GRSM","GRSM_049","tower","deciduousForest",35.687540,-83.497000,"WGS84",20.3,274043.88,3952166.34,"17N",643.2,0.3,"vst_GRSM_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,"mpeterson@battelleecology.org","lelmore@battelleecology.org",
"78eea517-714e-4425-a410-022a03650206","GRSM_058.basePlot.vst","2017-11-02","D07","GRSM","GRSM_058","tower","deciduousForest",35.691948,-83.505433,"WGS84",20.2,273293.10,3952674.83,"17N",551.3,0.4,"vst_GRSM_2017","NEON.DOC.000987vG","Y",,"Y",,"Y",,"100","noneSelected",800,400,800,,"mpeterson@battelleecology.org","lelmore@battelleecology.org",
"368131be-fdad-44bd-8bfb-3ddaad340cea","GRSM_062.basePlot.vst","2017-11-06","D07","GRSM","GRSM_062","tower","deciduousForest",35.693342,-83.502845,"WGS84",20.1,273531.27,3952823.51,"17N",579.0,0.1,"vst_GRSM_2017","NEON.DOC.000987vG","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,"aferchaud@battelleecology.org","elaske@battelleecology.org",
"a1885afa-25b6-454d-ab56-d6f628d1747a","GRSM_057.basePlot.vst","2017-11-07","D07","GRSM","GRSM_057","tower","deciduousForest",35.686589,-83.502284,"WGS84",20.3,273562.94,3952073.01,"17N",592.2,0.4,"vst_GRSM_2017","NEON.DOC.000987vE","Y",,"Y",,"Y",,"100","noneSelected",800,400,800,,"aferchaud@field-ops.org","elaske@battelleecology.org",
"8f0a6dc4-32f2-4ff5-877b-a7fee149b363","GRSM_047.basePlot.vst","2017-11-08","D07","GRSM","GRSM_047","tower","deciduousForest",35.687618,-83.506289,"WGS84",20.1,273203.36,3952196.42,"17N",657.3,0.1,"vst_GRSM_2017","NEON.DOC.000987vE","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,"vcox@battelleecology.org","lelmore@battelleecology.org",
"1a942cff-953d-4713-a087-e953ab2c08d6","GRSM_061.basePlot.vst","2017-11-13","D07","GRSM","GRSM_061","tower","deciduousForest",35.685733,-83.505223,"WGS84",20.1,273294.51,3951984.83,"17N",665.2,0.2,"vst_GRSM_2017","NEON.DOC.000987vE","Y",,"Y",,"N",,"25","25",800,100,100,,"lelmore@battelleecology.org","vcox@battelleecology.org",
"99ae2dc8-f744-47cd-a164-055d4afa7070","GRSM_051.basePlot.vst","2017-11-14","D07","GRSM","GRSM_051","tower","deciduousForest",35.688413,-83.507293,"WGS84",20.1,273114.74,3952286.94,"17N",657.4,0.3,"vst_GRSM_2017","NEON.DOC.000987vE","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,"vcox@battelleecology.org","lelmore@battelleecology.org",
"53c9f640-3c91-4dba-a8d4-ad087be2628c","GRSM_059.basePlot.vst","2017-11-14","D07","GRSM","GRSM_059","tower","deciduousForest",35.686508,-83.506607,"WGS84",20.2,273171.43,3952074.01,"17N",655.0,0.3,"vst_GRSM_2017","NEON.DOC.000987vE","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,"vcox@battelleecology.org","lelmore@battelleecology.org",
"028a04fb-1e02-4e9a-a5ed-b4f19e3f6f05","GRSM_060.basePlot.vst","2017-11-15","D07","GRSM","GRSM_060","tower","deciduousForest",35.686007,-83.503986,"WGS84",20.2,273407.24,3952012.37,"17N",639.1,0.3,"vst_GRSM_2017","NEON.DOC.000987vE","Y",,"Y",,"N",,"25","25",800,100,100,,"vcox@battelleecology.org","lelmore@battelleecology.org",
