uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"c11c523e-2d53-413f-bf3f-4399882f7245","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12165",,"ok","liana","Live",2.6,130,,,,,,,,,,,,,"CASE A","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"fbeddd10-c163-4074-8bf7-b0b6ff86c94a","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12369",,"ok","liana","Live",1.7,50,,,,,,,,,,,,,"CASE F","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"d10c8361-bcce-48f1-8367-2c57d59b2782","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.14694",,"ok","single bole tree","Live",10.2,130,8.7,,,,,,,,,,,,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"4a7ac307-cf97-46b3-965b-7b86e434707b","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.08223",,"ok","single bole tree","Live",38.1,130,27.3,,,,,,,,,,,,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"ba08602b-1a2f-44c8-b0a1-ebd35ebbc516","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12150",,"ok","liana","Live",1.5,50,,,,,,,,,,,,,"CASE F","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"798b4bf6-e46f-401d-8d81-a582492d5879","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12350",,"ok","liana","Live",1.7,50,,,,,,,,,,,,,"CASE F","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"cbe28e7f-9650-4a54-a46e-a6a0bfd1081a","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12373",,"ok","liana","Live",1.2,130,,,,,,,,,,,,,"CASE A","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"58a816e4-0a55-4b9a-bc4c-8d4e097f823c","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12161",,"ok","liana","Live",1.4,50,,,,,,,,,,,,,"CASE F","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"444c662a-8f32-4a00-a5d3-71cb7607e14d","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.08239",,"ok","small tree","Live",4.5,130,3.4,,,,,,,,,,,,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"64cb1a3b-da54-45b6-9b0d-ea3e8a7560b3","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.08238",,"ok","single bole tree","Live",13.0,130,16.4,,,,,,,,,,,,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"d092d5d6-0c66-430e-94ef-942bc4b0d07c","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.08220",,"ok","single shrub","Live",2.3,130,3.8,,,,4.3,3.7,,"inverted cone",2.8,10,1.60,1.20,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"d9987f48-c32d-4b30-a4b1-1651342bf2c7","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12352",,"ok","liana","Live",1.6,50,,,,,,,,,,,,,"CASE F","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"7b818331-8356-4aed-8d8b-f38cce946a4c","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12159",,"mislabeled","liana","Live",,,,,,,,,,,,,,,"same as 12161","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"7dd0aed2-899c-44d2-8dd0-d77f71a111fa","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12355",,"ok","liana","Live",1.2,130,,,,,,,,,,,,,"CASE A","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"219aa827-c076-4520-8cb9-cf5710055139","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12360",,"ok","liana","Live",1.1,50,,,,,,,,,,,,,"CASE F","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"aa0f6632-8f3a-462a-8f4a-f84d902e704a","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.12351",,"ok","liana","Live",1.6,130,,,,,,,,,,,,,"CASE A","bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"8e4723e8-3019-48c2-814b-a85382448581","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.08217",,"ok","single shrub","Live",5.6,130,7.6,,,,4.9,4.0,,"inverted cone",7.2,10,1.70,1.40,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"4e02fbfb-cb34-4152-acdf-e57001bceae1","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.08230A",,"ok","multi-bole tree","Live",4.0,130,6.2,,,,,,,,,,,,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
"c2bdd74d-e778-4908-a3aa-699c74dda796","LENO_069.basePlot.vst","2016-11-01","vst_LENO_2016","D08","LENO","LENO_069",,"NEON.PLA.D08.LENO.08228",,"ok","single bole tree","Live",25.0,130,21.1,,,,,,,,,,,,,"bharrison@field-ops.org","ctittle@field-ops.org","legacyData"
