uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"92b4a2a5-2073-489f-9c14-02a3e858ae3e","TALL_043.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_043",,"NEON.PLA.D08.TALL.03359",,,"single bole tree","Live",33.7,130,19.0,,,,,,,,,,,,,"hshirley@field-ops.org","anewman@field-ops.org","legacyData"
"101d7328-a45a-4072-a7bc-11555c53dcd2","TALL_049.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_049",,"NEON.PLA.D08.TALL.01022",,,"sapling","Standing dead",1.1,10,1.7,,,,,,,,,,,,,"mrichards@field-ops.org","glawrence@field-ops.org","legacyData"
"ae873c02-e7f2-42d0-b7cc-be44840ac76a","TALL_049.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_049",,"NEON.PLA.D08.TALL.01098",,,"sapling","Standing dead",1.2,10,0.7,,,,,,,,,,,,,"mrichards@field-ops.org","glawrence@field-ops.org","legacyData"
"8cbdc831-e2ca-40ad-8a06-2867ae52e7c1","TALL_043.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_043",,"NEON.PLA.D08.TALL.03201",,,"small tree","Live",7.7,130,5.4,,,,,,,,,,,,,"hshirley@field-ops.org","anewman@field-ops.org","legacyData"
"b430d0c8-88c4-487c-b604-520b5bef1616","TALL_043.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_043",,"NEON.PLA.D08.TALL.03305",,,"sapling","Standing dead",1.0,10,0.8,,,,,,,,,,,,"no transcription errors found","hshirley@field-ops.org","anewman@field-ops.org","legacyData"
"5d4a7984-238a-4970-9f1d-98dd7c874b40","TALL_043.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_043",,"NEON.PLA.D08.TALL.03326",,,"small tree","Live,  other damage",6.0,130,6.1,,,,,,,,,,,,,"hshirley@field-ops.org","anewman@field-ops.org","legacyData"
"eb24bca0-1aef-4dca-badc-067ea94ae106","TALL_049.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_049",,"NEON.PLA.D08.TALL.01057",,,"small tree","Standing dead",1.5,130,2.9,,,,,,,,,,,,,"mrichards@field-ops.org","glawrence@field-ops.org","legacyData"
"e7eb3a44-ea8e-4696-a58c-47aee8b81d8a","TALL_043.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_043",,"NEON.PLA.D08.TALL.03321",,,"small tree","Live, physically damaged",6.6,130,5.0,,,,,,,,,,,,,"hshirley@field-ops.org","anewman@field-ops.org","legacyData"
"41109b68-e3d7-4a1d-aa09-320f14d65f21","TALL_049.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_049",,"NEON.PLA.D08.TALL.01012",,,"sapling","Standing dead",1.1,10,1.2,,,,,,,,,,,,,"mrichards@field-ops.org","glawrence@field-ops.org","legacyData"
"6f404194-2c9c-4b9f-acb7-c2b6cf9dce2f","TALL_043.basePlot.vst","2015-09-30","vst_TALL_2015","D08","TALL","TALL_043",,"NEON.PLA.D08.TALL.03332",,,"single bole tree","Live",11.9,130,8.8,,,,,,,,,,,,,"hshirley@field-ops.org","anewman@field-ops.org","legacyData"
