uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"99a6fd12-c7a4-42a3-8556-92ee1b6d041f","DCFS_082.basePlot.vst","2015-07-01","D09","DCFS","DCFS_082","tower","grasslandHerbaceous",47.160979,-99.105917,"WGS84",10.1,491971.82,5223058.82,"14N",574.5,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"cd41179e-3ab4-41dd-80db-648be2385d21","DCFS_072.basePlot.vst","2015-07-13","D09","DCFS","DCFS_072","tower","grasslandHerbaceous",47.162052,-99.109103,"WGS84",10.1,491730.49,5223178.39,"14N",568.3,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"8bbba28e-4b53-4ac0-a30a-fa9fdf20f633","DCFS_084.basePlot.vst","2015-07-20","D09","DCFS","DCFS_084","tower","grasslandHerbaceous",47.161236,-99.111467,"WGS84",10.1,491551.18,5223087.96,"14N",570.3,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"8578d457-9783-468e-8ae0-93ed0d6bc3e0","DCFS_065.basePlot.vst","2015-07-20","D09","DCFS","DCFS_065","tower","grasslandHerbaceous",47.160965,-99.110680,"WGS84",20.1,491610.79,5223057.76,"14N",571.7,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"c7c93dfc-eba5-40e1-a323-a41272a522ed","DCFS_068.basePlot.vst","2015-07-20","D09","DCFS","DCFS_068","tower","grasslandHerbaceous",47.160152,-99.111470,"WGS84",10.1,491550.79,5222967.50,"14N",565.8,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"0aa7d78e-c362-498a-b3a2-8afceece6fcc","DCFS_069.basePlot.vst","2015-07-20","D09","DCFS","DCFS_069","tower","grasslandHerbaceous",47.162052,-99.111086,"WGS84",10.1,491580.19,5223178.60,"14N",570.7,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"0fafceb3-f7d3-4119-8b84-fee70edd4f83","DCFS_070.basePlot.vst","2015-07-21","D09","DCFS","DCFS_070","tower","grasslandHerbaceous",47.164760,-99.108691,"WGS84",10.1,491762.14,5223479.29,"14N",567.2,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"25","noneSelected",400,200,400,"Target taxa present: Y",,"mlakey@field-ops.org","legacyData"
"cfe667fb-5aea-45ec-a1a4-641de48bff70","DCFS_061.basePlot.vst","2015-07-21","D09","DCFS","DCFS_061","tower","grasslandHerbaceous",47.161221,-99.112249,"WGS84",10.1,491491.91,5223086.38,"14N",563.6,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"6978e46f-eabd-4651-9e56-a3d56695d0c9","DCFS_073.basePlot.vst","2015-07-21","D09","DCFS","DCFS_073","tower","grasslandHerbaceous",47.162587,-99.111889,"WGS84",10.1,491519.41,5223238.14,"14N",573.4,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"385c2514-3212-439f-81d0-53c8e9762149","DCFS_090.basePlot.vst","2015-07-21","D09","DCFS","DCFS_090","tower","grasslandHerbaceous",47.162854,-99.110696,"WGS84",10.2,491609.88,5223267.69,"14N",571.5,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"f7cc7d42-70bc-4a41-ae82-b5f5a1b5c4fd","DCFS_067.basePlot.vst","2015-07-21","D09","DCFS","DCFS_067","tower","grasslandHerbaceous",47.163131,-99.109882,"WGS84",20.1,491671.62,5223298.38,"14N",573.9,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
"176d8a4c-bb83-4bc7-bc22-522457420ce4","DCFS_062.basePlot.vst","2015-07-22","D09","DCFS","DCFS_062","tower","grasslandHerbaceous",47.162314,-99.110281,"WGS84",20.1,491641.25,5223207.63,"14N",569.3,0.2,"vst_DCFS_2015","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"Target taxa present: N",,"mlakey@field-ops.org","legacyData"
