uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"351f3ffd-9c4b-4530-84a4-4b010ec721bc","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00601",,"ok","small shrub","Standing dead",,,0.8,,,,1.4,1.3,,"oblate half-sphere",5.7,10,,,,"ereilly@battelleecology.org","mgaetani@battelleecology.org",
"2f154400-d7dc-47bd-8a0d-586563c3789b","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00599",,"ok","small shrub","Live",,,0.9,0.1,,,1.9,1.3,,"ellipsoid or sphere",17.5,10,,,,"ereilly@battelleecology.org","mgaetani@battelleecology.org",
"22eab92a-d7e3-45cf-9c54-82aad2e11240","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00575",,"ok","small shrub","Live",,,1.4,0.5,,,1.6,0.6,,"ellipsoid or sphere",6.4,10,,,,"ereilly@battelleecology.org","mgaetani@battelleecology.org",
"dd631baf-eeb4-4269-8ea3-089606e4255c","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00579",,"ok","sapling","Live, disease damaged",,,1.2,,,,,,,,3.4,10,,,"Blisters","ereilly@battelleecology.org","mgaetani@battelleecology.org",
"258ef9ae-528f-4227-a063-0b00b07c6145","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00602",,"ok","small tree","Live, disease damaged",6.2,130,2.6,,,,1.7,1.6,,,,,,,"Blisters","ereilly@battelleecology.org","mgaetani@battelleecology.org",
"3ef9776c-d3fb-4d07-ae06-f5339b1141ae","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00608",,"ok","sapling","Live",,,0.4,,,,,,,,1.3,10,,,,"ereilly@battelleecology.org","mgaetani@battelleecology.org",
"3a876177-5fc6-49b7-ac17-b538a8564725","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00570",,"ok","small tree","Live",4.5,130,2.3,,,,2.9,2.3,,,,,,,,"ereilly@battelleecology.org","mgaetani@battelleecology.org",
"6bd4d888-927b-4cdb-b450-039ba065895d","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00566A",,"ok","multi-bole tree","Live, physically damaged",11.4,130,3.8,,,,5.2,2.9,"Full sun",,,,,,"Woodpeckers","ereilly@battelleecology.org","mgaetani@battelleecology.org",
"5f928adf-d6f7-49ef-a7e7-0c05670156c5","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00593",,"ok","single bole tree","Live, disease damaged",9.8,130,2.6,,,,4.0,2.0,"Partially shaded",,,,,,"Blisters","ereilly@battelleecology.org","mgaetani@battelleecology.org",
"c6032b80-5205-49b7-bdc1-ee192795a497","MOAB_025.basePlot.vst","2018-08-23","vst_MOAB_2018","D13","MOAB","MOAB_025",,"NEON.PLA.D13.MOAB.00570",,"ok","small tree","Live",4.2,130,2.3,,,,2.9,2.3,,,,,,,,"ereilly@battelleecology.org","mgaetani@battelleecology.org",
