uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"55054019-1b46-4bf8-8aa4-100f264fa457","NIWO_001.basePlot.vst","2016-09-01","D13","NIWO","NIWO_001","distributed","evergreenForest",40.042344,-105.558975,"WGS84",20.1,452315.42,4432606.66,"13N",3213.5,0.1,"vst_NIWO_2016","NEON.DOC.000987vE","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,"skovach@field-ops.org","tdelpriore@neoninc.org",
"f2616415-5ca8-49e9-a333-7e508eadfcd2","NIWO_007.basePlot.vst","2016-09-01","D13","NIWO","NIWO_007","distributed","evergreenForest",40.037739,-105.562156,"WGS84",20.2,452040.83,4432097.25,"13N",3171.3,0.2,"vst_NIWO_2016","NEON.DOC.000987vE","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,"dbradley@neoninc.org","kbenson@field-ops.org",
"2437290f-fb91-480f-b3fd-3cd54b6a6c61","NIWO_016.basePlot.vst","2016-09-07","D13","NIWO","NIWO_016","distributed","evergreenForest",40.048377,-105.542505,"WGS84",20.2,453724.51,4433267.58,"13N",3110.0,0.2,"vst_NIWO_2016","NEON.DOC.000987vE","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,"pzerbe@field-ops.org","tdelpriore@neoninc.org",
"e1280b6e-5511-450c-9b07-cf63d1763a01","NIWO_004.basePlot.vst","2016-09-09","D13","NIWO","NIWO_004","distributed","evergreenForest",40.043059,-105.581501,"WGS84",20.1,450394.29,4432698.32,"13N",3312.5,0.1,"vst_NIWO_2016","NEON.DOC.000987vE","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,"skovach@field-ops.org","kbenson@field-ops.org",
"f190e63e-3183-4e83-adbc-7777d30bb83b","NIWO_005.basePlot.vst","2016-09-12","D13","NIWO","NIWO_005","distributed","evergreenForest",40.043662,-105.569891,"WGS84",20.2,451385.13,4432758.84,"13N",3285.4,0.2,"vst_NIWO_2016","NEON.DOC.000987vE","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,"dbradley@neoninc.org","glacivita@field-ops.org",
"ad7a1e89-9b39-4ff4-8265-18d734a5f81a","NIWO_009.basePlot.vst","2016-09-12","D13","NIWO","NIWO_009","distributed","evergreenForest",40.045049,-105.560411,"WGS84",20.1,452194.80,4432907.66,"13N",3274.2,0.1,"vst_NIWO_2016","NEON.DOC.000987vE","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,"skovach@field-ops.org","kbenson@field-ops.org",
"660de7d7-81bf-481b-92dc-83ad7031962b","NIWO_010.basePlot.vst","2016-09-13","D13","NIWO","NIWO_010","distributed","evergreenForest",40.037194,-105.568794,"WGS84",20.2,451474.13,4432040.35,"13N",3188.7,0.5,"vst_NIWO_2016","NEON.DOC.000987vE","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,"dbradley@neoninc.org","jlinden@field-ops.org",
"27ab664b-ec0f-4704-b39c-230d211e12c2","NIWO_065.basePlot.vst","2016-09-15","D13","NIWO","NIWO_065","tower","grasslandHerbaceous",40.051404,-105.587551,"WGS84",10.1,449884.30,4433627.94,"13N",3487.5,0.1,"vst_NIWO_2016","NEON.DOC.000987vE",,,,,,,"noneSelected","noneSelected",400,400,400,,"dbradley@neoninc.org","jlinden@field-ops.org",
"7752eb61-bab7-4747-88a4-2d8a5a105522","NIWO_068.basePlot.vst","2016-09-15","D13","NIWO","NIWO_068","tower","grasslandHerbaceous",40.050589,-105.587175,"WGS84",10.1,449915.77,4433537.27,"13N",3476.0,0.1,"vst_NIWO_2016","NEON.DOC.000987vE",,,,,,,"noneSelected","noneSelected",400,400,400,,"dbradley@neoninc.org","jlinden@field-ops.org",
"de9f80b0-5dd9-44f3-9831-7e6cbb338b3d","NIWO_069.basePlot.vst","2016-09-15","D13","NIWO","NIWO_069","tower","grasslandHerbaceous",40.050042,-105.587510,"WGS84",10.1,449886.80,4433476.74,"13N",3468.0,0.1,"vst_NIWO_2016","NEON.DOC.000987vE",,,,,,,"noneSelected","noneSelected",400,400,400,,"dbradley@neoninc.org","jlinden@field-ops.org",
"3dfb4f04-c457-43a2-b54b-c2fbae7476be","NIWO_049.basePlot.vst","2016-09-15","D13","NIWO","NIWO_049","tower","grasslandHerbaceous",40.050874,-105.585072,"WGS84",10.1,450095.36,4433567.72,"13N",3460.2,0.1,"vst_NIWO_2016","NEON.DOC.000987vE","N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,"dbradley@neoninc.org","jlinden@field-ops.org",
