uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"00fdf02a-1610-4a4a-8de3-a5ec98c507b7","JORN_008.basePlot.vst","2015-10-05","vst_JORN_2015","D14","JORN","JORN_008",,"NEON.PLA.D14.JORN.00036",,,"sapling","Live",12.0,10,1.7,,,,2.1,1.7,"Full sun","half-sphere",,,,,"Actual stemDiameter measurements; 11.8 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"5ec26507-8f7c-41fb-b6b0-160a7e575492","JORN_008.basePlot.vst","2015-10-05","vst_JORN_2015","D14","JORN","JORN_008",,"NEON.PLA.D14.JORN.00038",,,"small shrub","Live",2.0,10,1.5,,,,1.7,1.3,"Full sun","half-sphere",,,,,"2 stemDiameter measurements; 1.6, 2.0 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"527b9bd3-236d-467e-8206-d737931e34c5","JORN_008.basePlot.vst","2015-10-05","vst_JORN_2015","D14","JORN","JORN_008",,"NEON.PLA.D14.JORN.00037",,,"small shrub","Live",3.0,10,1.2,,,,0.9,0.8,"Full sun","inverted cone",,,4.00,3.00,"Multiple stemDiameter measurements; 3.0, 1.0, 1.8, 2.5, 3.7, 1.7, 5.7 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"712fa208-866b-425a-90a3-d803fde42274","JORN_016.basePlot.vst","2015-10-06","vst_JORN_2015","D14","JORN","JORN_016",,"NEON.PLA.D14.JORN.00045",,,"small shrub","Live",2.0,10,1.3,,,,1.4,1.4,"Full sun","half-sphere",,,,,"1.9, 1.8, 1.9, 2.3, 1.0, 1.4, 1.5 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"7752c3cf-1fb5-4288-97be-b0c440dada4c","JORN_016.basePlot.vst","2015-10-06","vst_JORN_2015","D14","JORN","JORN_016",,"NEON.PLA.D14.JORN.00040",,,"small shrub","Live",2.0,10,1.2,,,,1.2,1.1,"Full sun","half-sphere",,,,,"1.7, 3.8, 2.2, 6.4 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"fed21e3e-330e-4960-a611-abe1452c792c","JORN_016.basePlot.vst","2015-10-06","vst_JORN_2015","D14","JORN","JORN_016",,"NEON.PLA.D14.JORN.00042",,,"small shrub","Live",3.0,10,1.6,,,,2.3,2.1,"Full sun","half-sphere",,,,,"2.8, 17.2, 2.8, 1.9, 1.8, 11.6 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"01ca5384-9f57-4ede-9f58-2055be97157c","JORN_016.basePlot.vst","2015-10-06","vst_JORN_2015","D14","JORN","JORN_016",,"NEON.PLA.D14.JORN.00048",,,"small shrub","Live",13.0,10,1.6,,,,2.1,1.5,"Full sun","half-sphere",,,,,"13.1, 4.6, 1.4 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"669b4f22-fb41-43bf-9eec-cb5de4dcdb38","JORN_016.basePlot.vst","2015-10-06","vst_JORN_2015","D14","JORN","JORN_016",,"NEON.PLA.D14.JORN.00046",,,"sapling","Standing dead",8.0,10,1.0,,,,1.5,1.0,"Open grown","oblate half-sphere",,,,,"actual stemDiameter 7.8 cm","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"861b78b3-1aeb-48fb-89e0-7672d312d2ee","JORN_016.basePlot.vst","2015-10-06","vst_JORN_2015","D14","JORN","JORN_016",,"NEON.PLA.D14.JORN.00047",,,"sapling","Live",2.0,10,1.1,,,,1.1,0.7,"Full sun","inverted cone",,,1.00,1.00,"actual stemDiameter 1.7 cm","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
"174b6dc4-0300-477d-8821-746b4de14111","JORN_016.basePlot.vst","2015-10-06","vst_JORN_2015","D14","JORN","JORN_016",,"NEON.PLA.D14.JORN.00044",,,"small shrub","Live",1.0,10,1.3,,,,0.8,0.6,"Full sun","inverted cone",,,9.00,8.00,"1.3, 1.3, 1.0 ddh","mjones@neoninc.org","shiebert@neoninc.org","legacyData"
