uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"2d0b26b3-e476-4075-bf8e-c8fb28f42455","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2015","D14","SRER","SRER_048","23",,,,,,"NEON.PLA.D14.SRER.00332",,,"NEON.DOC.000987vE","CYLIN2","Cylindropuntia sp.","genus",,,,,,,,
"bb890b12-c3c3-4784-8708-9c626098de77","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2015","D14","SRER","SRER_048","23",,,,,,"NEON.PLA.D14.SRER.00335",,,"NEON.DOC.000987vE","CYLIN2","Cylindropuntia sp.","genus",,,,,,"srose@neoninc.org","srose@neoninc.org",
"867a0d49-f4d4-4c58-8964-377ca640befd","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2016","D14","SRER","SRER_048","23","2",,,,,"NEON.PLA.D14.SRER.00301",,,"NEON.DOC.000987vE","PRVE","Prosopis velutina Woot.","species",,,,,,"shiebert@neoninc.org","jhudson@neoninc.org",
"aeb193e2-0708-441b-88f4-494faf36d0f2","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2016","D14","SRER","SRER_048","23","2",,,,,"NEON.PLA.D14.SRER.00302",,,"NEON.DOC.000987vE","PRVE","Prosopis velutina Woot.","species",,,,,,"shiebert@neoninc.org","jhudson@neoninc.org",
"eb0cd7e3-3f83-4863-898e-0019bc4da137","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2016","D14","SRER","SRER_048","23","4",,,,,"NEON.PLA.D14.SRER.00305",,,"NEON.DOC.000987vE","PRVE","Prosopis velutina Woot.","species",,,,,,"shiebert@neoninc.org","jhudson@neoninc.org",
"01a527b1-e88c-4785-b979-26ecc6c4cac3","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2016","D14","SRER","SRER_048","23","4",,,,,"NEON.PLA.D14.SRER.00307",,,"NEON.DOC.000987vE","PRVE","Prosopis velutina Woot.","species",,,,,,"shiebert@neoninc.org","jhudson@neoninc.org",
"18c537eb-eb9a-4df0-92ce-67d3f096af91","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2016","D14","SRER","SRER_048","23","4","43",7.4,211.5,,"NEON.PLA.D14.SRER.00308",,,"NEON.DOC.000987vE","PRVE","Prosopis velutina Woot.","species",,,,,,"shiebert@neoninc.org","jhudson@neoninc.org",
"94cadc98-fb3b-4532-b8bd-81c2eb8e787e","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2016","D14","SRER","SRER_048","23","4","43",9.3,185.9,,"NEON.PLA.D14.SRER.00304",,,"NEON.DOC.000987vE","PRVE","Prosopis velutina Woot.","species",,,,,,"shiebert@neoninc.org","jhudson@neoninc.org",
"975b8f6b-476a-496d-9159-621f9a94afb9","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2015","D14","SRER","SRER_048","23",,,,,,"NEON.PLA.D14.SRER.00349",,,"NEON.DOC.000987vE","MAMMI","Mammillaria sp.","genus",,,,,,,,
"6154be62-4661-43b3-bbb4-ca0778694901","SRER_048.basePlot.vst","2016-01-08","vst_SRER_2015","D14","SRER","SRER_048","41",,,,,,"NEON.PLA.D14.SRER.00343",,,"NEON.DOC.000987vE","CYLIN2","Cylindropuntia sp.","genus",,,,,,,,
