uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"963e9aab-1dcd-45a3-b7bc-2c94033a16aa","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00957",,"ok","single shrub","Live",,,2.3,0.5,,,1.6,1.4,,"ellipsoid or sphere",2.9,10,,,,"ndeweese@field-ops.org","vschmitt@field-ops.org","legacyData"
"93290059-808a-45e8-a796-729c34f055b0","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.01109",,"ok","small tree","Live",5.5,130,4.4,,,,,,,,,,,,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
"ec4e89f8-1c1d-4c33-847a-bd48594877f0","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.01116",,"ok","single shrub","Live",,,3.8,,,,1.3,1.1,,"inverted cone",2.1,10,0.60,0.60,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
"0f12ab19-524c-4a28-bc40-4413f916e4f0","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00983",,"ok","single shrub","Live",,,1.9,0.6,,,1.6,0.0,,"ellipsoid or sphere",1.1,10,,,,"ndeweese@field-ops.org","vschmitt@field-ops.org","legacyData"
"1a09df41-1e87-4c75-97f9-26e64235fd75","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00592",,"ok","sapling","Live",,,1.5,,,,,,,,1.8,10,,,,"ndeweese@field-ops.org","vschmitt@field-ops.org","legacyData"
"9d9587a1-8283-4658-9034-fec8085a1af9","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.01106",,"ok","sapling","Live",,,2.1,,,,,,,,1.8,10,,,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
"2feb1ce6-2f40-4333-9cef-9b9f64a4fb36","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00596",,"ok","sapling","Live",,,0.9,,,,,,,,1.1,10,,,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
"4465e1c8-1ea1-458c-a914-2d646c74bb7a","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.01113",,"ok","small shrub","Live",,,1.5,,,,0.9,0.7,,"inverted cone",1.1,10,0.70,0.50,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
"2cbb71cd-b223-4e7e-924d-e50c3ca6c4e0","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00590",,"ok","small tree","Live",6.2,130,5.0,,,,1.8,,,,1.8,,,,,"ndeweese@field-ops.org","vschmitt@field-ops.org","legacyData"
"a621b1fd-ef51-456d-90ee-adf0f67e84a1","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00981",,"ok","sapling","Live",,,1.4,,,,,,,,1.3,10,,,,"ndeweese@field-ops.org","vschmitt@field-ops.org","legacyData"
"7addf1a4-5636-4863-b04e-4cf7ebef94eb","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.01116",,"ok","single shrub","Live",1.4,130,3.8,,,,1.3,1.1,,"inverted cone",2.7,10,0.60,0.60,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
"87de3b05-f4ef-4c6a-a8c9-3904da53d626","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00983",,"ok","single shrub","Live",1.0,130,1.9,0.6,,,1.6,0.0,,"ellipsoid or sphere",1.6,,,,,"ndeweese@field-ops.org","vschmitt@field-ops.org","legacyData"
"b69ad8c4-fdb9-429d-b1d0-ac67a2025874","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.01106",,"ok","sapling","Live",,,2.1,,,,,,,,2.4,10,,,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
"acca74f5-fc0c-4093-8c15-f2bc413c74bd","ABBY_065.basePlot.vst","2016-11-03","vst_ABBY_2016","D16","ABBY","ABBY_065",,"NEON.PLA.D16.ABBY.00594",,"ok","sapling","Live",,,1.7,,,,,,,,2.5,10,,,,"ed'auria@field-ops.org","wsalas@field-ops.org","legacyData"
