uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"ffd6ee27-808c-4920-bc36-08f44c92ac02","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00424",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"645db0bf-3441-40c0-b9ac-7f228048e429","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",7.4,94.8,,"NEON.PLA.D16.ABBY.00453",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"26596e96-6886-4694-a8a1-0f897def84e0","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00473",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"e6f6946f-b71a-4720-9c11-cb4223494cab","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00442",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"1062ccf8-2d3a-4899-bf24-3cb7d7d975d1","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00443",,,"NEON.DOC.000987vE","FRPU7","Frangula purshiana (DC.) A. Gray","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"356cda8a-85dd-49c5-933c-0e0ca1b0e562","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",11.4,87.0,,"NEON.PLA.D16.ABBY.00401",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"43653c4d-cfe2-468d-a97d-6c9d33fd8687","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",9.7,111.9,,"NEON.PLA.D16.ABBY.00452",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"4f9b9781-8c0d-42c6-b062-11236c549f39","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",17.7,78.5,,"NEON.PLA.D16.ABBY.00405",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"b5058a96-d6f1-441f-9afa-41c827d7fe47","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00470",,,"NEON.DOC.000987vE","VAPA","Vaccinium parvifolium Sm.","species",,,,,"Merged tag 471 with 470 as second bole per revG 2017","krian@neoninc.org","kzias@field-ops.org",
"5bcb1891-b567-4281-9976-f35e131952a0","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39","1",,,,,"NEON.PLA.D16.ABBY.00456",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"1eb04398-e068-4654-849f-f97fb31fbd99","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",19.0,19.4,,"NEON.PLA.D16.ABBY.00451",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"ae4180b4-241b-40b8-a251-90948e8c8596","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",20.3,57.5,,"NEON.PLA.D16.ABBY.00419",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"138e0eb7-8598-4395-962f-34c6d0f602e4","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",19.0,85.8,,"NEON.PLA.D16.ABBY.00407",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"992443eb-f0e3-41e5-9f11-b5fa323023ae","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",23.8,50.0,,"NEON.PLA.D16.ABBY.00421",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"ce37182a-a5f4-444e-85dd-89cd8ab10867","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",16.9,75.2,,"NEON.PLA.D16.ABBY.00429",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"44cc0b63-96a4-4efd-b386-aa207f6371e3","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",11.0,100.3,,"NEON.PLA.D16.ABBY.00454",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"33aadeee-09e2-47b4-88ff-1cdf2979f29e","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",21.6,65.9,,"NEON.PLA.D16.ABBY.00436",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"ed9e8ef0-9e95-443d-a11a-25d9e7121bff","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",11.8,5.6,,"NEON.PLA.D16.ABBY.00474",,,"NEON.DOC.000987vE","COCOC","Corylus cornuta Marshall var. californica (A. DC.) Sharp","variety",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"740a739d-a17a-4e64-80bb-dc7c9729a5fe","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",18.0,57.6,,"NEON.PLA.D16.ABBY.00415",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"2259f544-1638-411c-a612-da3c4a55208e","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",12.8,37.0,,"NEON.PLA.D16.ABBY.00438",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"e2c893b3-d9b4-4a4d-a86d-f98f94448d5d","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00459",,,"NEON.DOC.000987vE","FRPU7","Frangula purshiana (DC.) A. Gray","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"91458e9e-0c5f-4028-a658-d7a90c5a8d8d","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",17.5,78.0,,"NEON.PLA.D16.ABBY.00404",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"793da7c3-b90f-459f-b1c8-a5c56878eb92","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"41",20.9,344.0,,"NEON.PLA.D16.ABBY.00427",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"2017 remap from pt. 59 13.9m @ 91.1 degrees","krian@neoninc.org","kzias@field-ops.org",
