uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"1c5f0922-3cd4-4a4d-87d0-38a35c726900","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.00197",,"ok","single bole tree","Live",14.4,130,8.3,,,,,,,,,,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"c2a16254-7155-49ad-8237-25eec264948d","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.04512",,"ok","small shrub","Live",,,0.7,,,,0.5,0.3,,"cylinder",1.2,10,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"9881eba0-038d-4b8d-a512-c49e037ac387","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.04506",,"ok","small shrub","Live",,,0.9,,,,0.9,0.7,,"cylinder",1.1,10,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"abbcaf8e-9f8a-4ac1-b759-91d4501a216a","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.00180",,"ok","small tree","Standing dead",4.8,130,2.5,,,,,,,,,,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"998047a0-cd84-4547-b5b7-1fe4c5bfa907","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.04713",,"ok","small tree","Live",1.7,130,1.7,,,,,,,,1.0,,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"4c763f1c-0a96-40ca-ab7c-025ff224160d","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.00097",,"ok","sapling","Standing dead",,,0.6,,,,,,,,1.2,10,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"21e55a67-70f2-4689-b5a8-56cab01e9602","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.00398",,"ok","sapling","Standing dead",,,0.6,,,,,,,,1.1,10,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"cecfc333-5936-4a23-b56a-9b6e91a9934d","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.04515",,"ok","small shrub","Standing dead",,,0.9,,,,0.6,0.2,,"cylinder",1.0,10,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"73d19cb3-0270-4338-80ed-15e097db626c","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.00089",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,,"lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
"ac16939b-ad86-46fb-82fa-5f9d2d59efee","DEJU_049.basePlot.vst","2017-05-23","vst_DEJU_2016","D19","DEJU","DEJU_049",,"NEON.PLA.D19.DEJU.00198",,"ok","single bole tree","Live,  other damage",12.3,130,5.9,,,,,,,,,,,,"Crown damage","lpetrauski@battelleecology.org","acortese@battelleecology.org","legacyData"
