uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"19c50149-c739-4ec5-adeb-6ca7a6183aa2","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","31",,"31",6.7,16.9,,"NEON.PLA.D20.PUUM.00344",,,"NEON.DOC.000987vG","ACKO","Acacia koa A. Gray","species",,,,,"Tree clump: 2 apparent individuals. Acko 344, mepo5 342 (south), All tags on one wire.","jlinden@battelleecology.org","suehana@battelleecology.org",
"764ee0e7-31f9-422a-be24-0d630417d008","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","32",,"23",7.8,286.1,,"NEON.PLA.D20.PUUM.00302",,,"NEON.DOC.000987vG","MEPO5","Metrosideros polymorpha Gaudich.","species",,,,,,"jdouglas@battelleecology.org","lpetrauski@battelleecology.org",
"15325b94-0f96-4e85-a997-7c31008fdf49","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","32","2",,,,,"NEON.PLA.D20.PUUM.00309",,,"NEON.DOC.000987vG","CIGL","Cibotium glaucum (Sm.) Hook. & Arn.","species",,,,,,"jdouglas@battelleecology.org","lpetrauski@battelleecology.org",
"4d35dd0d-d90c-4ae4-a652-59ab264dcc8d","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","41",,"51",5.1,194.8,,"NEON.PLA.D20.PUUM.00317",,,"NEON.DOC.000987vG","MYSA","Myoporum sandwicense (A. DC.) A. Gray","species",,,,,,"lpetrauski@battelleecology.org","jdouglas@battelleecology.org",
"a4f00872-aa36-4021-9a47-d33c7a1208d6","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","31",,"49",11.3,160.0,,"NEON.PLA.D20.PUUM.00340",,,"NEON.DOC.000987vG","MEPO5","Metrosideros polymorpha Gaudich.","species",,,,,,"mlong@battelleecology.org","suehana@battelleecology.org",
"37558be1-85c0-4863-8dba-4c7e1ea96bc8","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","41","4",,,,,"NEON.PLA.D20.PUUM.00312",,,"NEON.DOC.000987vG","CIGL","Cibotium glaucum (Sm.) Hook. & Arn.","species",,,,,,"lpetrauski@battelleecology.org","jdouglas@battelleecology.org",
"086581ac-4466-4f40-8422-bfec61e1693a","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","40",,"41",7.7,293.4,,"NEON.PLA.D20.PUUM.00360",,,"NEON.DOC.000987vG","MEPO5","Metrosideros polymorpha Gaudich.","species",,,,,,"mlong@battelleecology.org","zsmith@battelleecology.org",
"ea309a7c-12fe-46dc-af57-a48a69c34751","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","41",,"51",5.4,234.5,,"NEON.PLA.D20.PUUM.00324",,,"NEON.DOC.000987vG","MEPO5","Metrosideros polymorpha Gaudich.","species",,,,,,"jdouglas@battelleecology.org","lpetrauski@battelleecology.org",
"79e7dddc-241b-4a9e-837c-0c8acf9ea026","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","31",,"41",4.6,260.7,,"NEON.PLA.D20.PUUM.00346",,,"NEON.DOC.000987vG","CIGL","Cibotium glaucum (Sm.) Hook. & Arn.","species",,,,,,"mlong@battelleecology.org","suehana@battelleecology.org",
"7d0d14c7-474f-4db5-92c4-67d0767a1e45","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","41",,"41",6.8,87.2,,"NEON.PLA.D20.PUUM.00322",,,"NEON.DOC.000987vG","MEPO5","Metrosideros polymorpha Gaudich.","species",,,,,,"lpetrauski@battelleecology.org","jdouglas@battelleecology.org",
"a25c1e02-875a-4ef7-bab0-40098c6cf3ce","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","40",,"49",3.1,167.2,,"NEON.PLA.D20.PUUM.00357",,,"NEON.DOC.000987vG","ACKO","Acacia koa A. Gray","species",,,,,,"mlong@battelleecology.org","zsmith@battelleecology.org",
"5e1cf03f-ed60-46a0-8a2c-3dfced3717cc","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","41",,"51",3.6,259.4,,"NEON.PLA.D20.PUUM.00314",,,"NEON.DOC.000987vG","MYLE2","Myrsine lessertiana A. DC.","species",,,,,,"lpetrauski@battelleecology.org","jdouglas@battelleecology.org",
"6b0c72d2-1479-43a1-8aa6-d76f8da00187","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","31",,"49",11.1,159.1,,"NEON.PLA.D20.PUUM.00339",,,"NEON.DOC.000987vG","ILAN","Ilex anomala Hook. & Arn.","species",,,,,,"mlong@battelleecology.org","suehana@battelleecology.org",
"5ff096d0-41d3-4e09-8376-3967575f61e6","PUUM_031.basePlot.vst","2018-03-29","vst_PUUM_2018","D20","PUUM","PUUM_031","31",,"41",4.2,266.4,,"NEON.PLA.D20.PUUM.00345",,,"NEON.DOC.000987vG","MEPO5","Metrosideros polymorpha Gaudich.","species",,,,,,"mlong@battelleecology.org","suehana@battelleecology.org",
